company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,final_level_category,business_model,specialties,short_description,about_us
Renrendai,renrendai.com,69490,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"credit, finance, financial services","Renrendai is a Beijing-based company providing P2P financial services such as loans, debts, investment, and others.","Renrendai is a Beijing-based company providing a P2P platform for financial services such as loans, debts, investment, and others. It targets white-collar employees and small business owners as its customers, charging borrowers a management fee of 0.3% of the borrowed money, and a service fee of up to 5% for high-risk borrowers. The returns on Renrendai.com loans are between 10% and 18%, which is higher than the 3.25% offered by one year turn deposits in banks. The company also controls default risks by measuring borrowers' income, occupation, assets, and family connections.
Renrendai was founded in May 2010 and currently has a service network covering over 2,000 regions. Its transaction capital for the third quarter of 2013 was reported to be US$81.2 million."
eMoneyUnion,emoneyunion.com,56691,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,finance,"They provide individuals with spare savings, the opportunity to become personal lenders to screened and profiled borrowers.","They provide individuals with spare savings, the opportunity to become personal lenders to screened and profiled borrowers.
Unlike other Peer to Peer platforms, our platform is financially inclusive, accepting loan applications from LOW credit score borrowers. If the borrower has a very low credit score, they will need to obtain the backing of a HIGH credit score Personal Guarantor, to boost their chance of obtaining a loan."
QuarterSpot,quarterspot.com,43646,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, fintech",QuarterSpot is an online lending platform that offers small businesses working capital.,"QuarterSpot is an online lending platform that offers credit-starved small businesses working capital on attractive rates and terms. We accelerate access to capital using advanced technologies that enable instant underwriting and approval, same-day closings and repayment to investors in as little as 24 hours. Contact info@quarterspot.com for more information."
Kashable,kashable.com,62191,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,financial services,"A Kashable loan is better than borrowing from your retirement plan, credit card, and many other lenders.","Taking a Kashable loan is easy and painless: no trips to your local bank branch or storefront, no filling out forms to mail in, and no staying on hold with representatives on the phone. You can complete the entire process online within a matter of a few minutes, and the funds are deposited electronically into your bank account."
Yooli,yooli.com,76925,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"banking, credit, financial services","Yooli is a network securities company, aiming to provide protection for investors, safeguards, and other financial professionals.","Yooli now cooperates with 23 offline micro-credit companies, offering investors access to loans that are originated from many of the smaller P2P platforms. In order to build trust and confidence, Yooli partners with a third party to assess the credit quality of each individual loan."
EarlyShares,earlyshares.com,35203,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, finance, fintech",EarlyShares is a real estate crowdfunding platform that connects return-driven commercial real estate investments.,"EarlyShares is a crowdfunding platform that connects individual investors to a curated selection of vetted, return-driven real estate investment offerings. Through the compliant platform, investors gain direct access to opportunities in growth companies, real estate projects, and investment funds. Investors can either invest as passive owners in equity opportunities brought forward by sponsors or in loans originated by institutional lenders. EarlyShares was launched in 2011 and is based in Miami, Florida."
Lendsquare,lendsquare.com,63079,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"collaborative consumption, crowdfunding, finance",LendSquare is an online platform that allows small businesses to finance growth by borrowing money from their customers and communities.,"LendSquare helps people invest in small businesses in their neighborhood by lending them money. This community-focused approach has advantages over traditional sources ofcredit: it's cheaper for businesses, it strengthens community bonds, and it allows individuals to invest in places they understand and love."
Strategic Funding Source,sfscapital.com,101728,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, fintech",Strategic Funding Source finances the future of small business with technology and insight,"Strategic Funding Source finances the future of small business with technology and insight. We provide financing to a wide range of businesses including retailers, restaurants, hotels, medical professionals, manufacturers, wholesalers and automotive dealers and suppliers.
Founded in 2006, Strategic Funding Source is a market leader in offering financing options to small and midsize businesses. Recognized as one the most reliable and respected names in the industry, Strategic Funding Source is known for flexible and tailored financing options, its comprehensive technology platform and exceptional customer service. Headquartered in New York City with a network of affiliated offices and sales representatives, the company provides capital throughout the U.S. and Australia."
LOANZ,loanz.com,63499,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"finance, financial services",Loanz is a Private Credit Platform for marketplace lending upon,Loanz is a marketplace lending platform delivering â€œLoans as a Serviceâ€ for borrowers and investors. It is rapidly emerging from the disruption of lending in the financial services industry by Internet platforms that connect borrowers and investors directly.
eLoancn,eloancn.com,86155,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"agriculture, lending, online portals",eLoancn is a China-based online lending platform that offers solutions in borrowing and lending money among its users.,"eLoancn is a Wenzhou-based online lending platform where members can borrow and lend money among themselves at better interest rates than a bank typically offers. eLoancn differentiates itself from peers with a special focus on agriculture, farming and rural areas. Its main business comes from farmersâ€™ personal loans, which are mainly used for agricultural reproduction and breeding."
Monexo Innovations Limited,monexo.co,41016,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,"financial services, fintech, marketplace, peer to peer",Monexo is an online marketplace for peer-to-peer lending bringing together lenders with borrowers. It creates a win-win for both.,"Monexo operates as an online, peer-to-peer lending marketplace for small businesses and their employees. The platform originates borrowers and lenders through both online and offline sales, and marketing channels. It uses its proprietary screening system to review borrowers on various financial and non-financial parameters and provides them with loan offers. When a borrower agrees to a loan offer, it is listed in the marketplace for lenders to view and fund them. It allows borrowers to receive up to 48 months of future rental income and subsequently assign the rental income to their lenders. Launched in 2014, Monexo is operated from Hong Kong, China."
"Equityroots, Inc.",equityroots.com,56974,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, real estate",Real estate crowdfunding for branded hotel assets,"EquityRoots is engaged in real estate crowdfunding, specifically for franchised hotel assets under the Marriott, Hilton, IHG, Starwood, and Hyatt brand.  Passive investors can find rewarding investment opportunities in this asset class through EquityRoots.com"
We Zebra,wezebra.com,109429,FinTech,Alternative Lending ,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative Lending -Consumer lending-Personal loans,,The rent installment service platfo,#N/A
CreditShop,creditshop.com,54883,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, finance, financial services",CreditShop offers affordable online loans with simple payment plans.,"For many borrowers, finding an unsecured personal loan with a reasonable interest rate can be extremely difficult. Often, borrowers are forced to consider lenders that charge high interest rates and hefty fees, or request valuable items as collateral. With CreditShop, consumers can qualify for an interest rate ranging from 18% to 30%. And CreditShop customers who make their monthly payments on time never pay ongoing transaction fees, late fees, annual fees, or prepayment fees. For all these reasons, a CreditShop loan might be a smart choice that costs less for many consumers."
Oportun,oportun.com,109116,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, debit cards, financial services, fintech",Oportun provides affordable loans that help people with little or no credit history establish credit and build a better future,"Oportun uses advanced data analytics and technology to provide responsible, affordable personal loans to people with little or no credit history â€“ people others consider â€œunscoreable.â€ Since its founding in 2005, Oportun has helped a million customers by disbursing more than $4 billion in small dollar loans and by reporting account information to credit bureaus so customers can establish the credit history they need. The company operates 240+ retail locations and delivers customer service in English and Spanish across all channels, including mobile. Oportun loans are currently available in Arizona, California, Illinois, Missouri, Nevada, New Mexico, Texas, and Utah."
"321Lend, Inc.",321lend.com,30791,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"fintech, personal finance, venture capital","321Lend, Inc. was formed in early 2014 in San Francisco, CA by three experienced professionals in finance, technology and management.","321Lend, Inc. was formed in early 2014 in San Francisco, CA by three experienced professionals in finance, technology and management consulting. All founders are graduates of UC Berkeley and have worked at hedge funds, start-ups, technology and consulting firms. The goal of 321Lend is to build an online financial community that connects creditworthy borrowers with savvy investors in order to facilitate better lending rates and lower loan default rates by continuously innovating its web application and business strategies.  The Company has made significant progress with building its platform and laying the foundation to launch its business. The Company is currently near completion and with funding, will be able to operate as a peer to peer lending platform.  
Though the Peer-to-Peer lending industry is one of the fastest growing industry  in the US estimated to be about $5B with CAGR of 100%+, it still covers only 1% of total credit card market of $669B.
Since 321Lend is founded in March 2014, the company achieved the following:
- Completed the front end of its website to attract potential borrowers and lenders 
- Near completion of its back end platform to automate transactions
- Built its proprietary interest rating model
- Prepared compliance documents such as FCRA, FDCA, TILA, ECOA, and others
- Secured relationship with banking partner to originate loans
- Final discussion with credit rating agency
Front end of website is launched at (http://www.321lend.com) and it is receiving numerous inquires from both lenders and borrowers."
lantouzi.com,lantouzi.com,39557,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"banking, financial services, security",lantouzi.com offers security investment banking platform for Internet companies and financial institutions.,"Lantouzi.com is an online investment banking platform that helps small- and medium-sized enterprises fulfill their business financing needs. It was launched in 2014 and is based in Beijing, China."
I-Bankers Direct,ibankers.com,60816,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"banking, financial services, wealth management",Online Access to Curated Investment Opportunities in Growth-stage Companies,I-Bankers Direct operates an online equity & debt funding platform (www.ibankers.com) that allows individual investors and institutions to access proprietary investment opportunities in a curated selection of private and public emerging-growth companies.
PPDai,ppdai.com,98899,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"finance, fintech, peer to peer",PPDAI is an online platform for peer-to-peer small unsecured loans in China.,"PPDAI is an online platform for peer-to-peer small unsecured loans in China. It builds a safe, high-performance, honest network platform with creative technology and ideals. PPDAI standardizes personal behaviors of debit and credit, and brings returns to both lenders and borrowers.
PPDAI was founded in August 2007 by founders from well known companies."
AssetAvenue,assetavenue.com,51171,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"e-commerce, marketplace, real estate",AssetAvenue is an online lender for real estate investment properties,"AssetAvenue is a Los Angeles-based online lender that is using technology to improve the way people borrow money for real estate investment properties. Our innovative online platform and proprietary data models enable us to deliver new benchmarks for speed, transparency and flexibility that traditional banks can't compete with.  We can fund loans with institutional capital in a matter of days. 
AssetAvenue is backed by some of the world's leading VC firms, including DCM Ventures, Matrix Partners and NetEase Capital. We were named one of the top 10 lending start-ups to watch in 2014 and have been featured in numerous publications including the Wall Street Journal, Entrepreneur, Inc and Forbes."
Patch of Land,patchofland.com,67423,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, finance, fintech, internet, lending, real estate",PofLand is a crowdfunding solution for real estate financing that brings together borrowers and lenders through a simple online interface,"Patch of Land is a real estate marketplace lender that uses proprietary technology and data to provide transparent, scalable, and efficient lending solutions. Patch of Land offers borrowers access to reliable capital for residential and commercial real estate projects, while providing investors easy diversification into real estate with low minimums and a best-in-class secured loan structure."
Rongzi.com,rongzi.com,69925,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative Lending -Commercial Lending-Term loans,"finance, financial services, small and medium businesses",Rongzi enables offline financial institutions to provide loans,"Founded in 2010, Shanghai-headquartered Rongzi enables offline financial institutions to provide loans for small and medium-sized enterprises."
ArgonCredit,argoncredit.com,31821,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"analytics, consumer lending, finance, financial services, fintech, innovation management, machine learning, personal finance","Argon Credit is a online personal loan startup. Currently growing in the U.S. with plans to expand into the U.K., Europe and Australia.","Based in Chicago, Illinois, Argon Credit is a decision engine-based lending platform for prime and near-prime borrowers seeking immediate access to online personal loans. The platform leverages proprietary algorithms and data analytics to comb down a vast array of prospective-borrow attributes in real time to approve or disapprove loan applications. Argon Credit was founded in December 2013."
Acquire Real Estate,acquirerealestate.com,49921,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"commercial real estate, crowdfunding, real estate",Acquire is a real estate crowdfunding platform for Accredited Investors. It pre-funds and co-invests solely in institutional-quality deals.,"Acquire Real Estate is a leading real estate crowdfunding platform and one of the only platforms to pre-fund its deals. Acquire focuses on cash-flowing, institutional-quality real estate deals and co-invests in every property right alongside its Members. Learn more at www.acquirerealestate.com."
PrimaHealth Credit,primahealthcredit.com,43291,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"cloud management, finance, fintech, health care, payments",PrimaHealth Credit is reinventing patient finance with a cloud-based payment management and finance platform.,"PrimaHealth Credit is reinventing how patients pay for out-of-pocket healthcare expenses by empowering healthcare providers with a cloud-based payment management and finance platform that enables them to offer payment solutions at the point-of-care. Today, healthcare providers are lacking modern, intuitive, point-of-sale payment and finance solutions, and patients are seeking transparent financial products to help pay for out-of-pocket healthcare expenses. PrimaHealth Credit offers smarter, simpler, and more transparent payment solutions that patients love and doctors value."
Loanbase,loanbase.com,39937,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"bitcoin, consumer lending, financial services, fintech",Leveraging blockchain technology in order to provide small businesses loans in emerging markets.,"Loanbase is the biggest global lending marketplace which uses blockchain technology. Our platform provides small businesses in emerging markets with access to capital at affordable rates from lenders across the globe. Small businesses have had disproportionately limited access to capital, yet they're fundamental drivers of the economy. Loanbase leverages blockchain technology in order to bring financial innovation to the small businesses in emerging markets."
Puddle,puddle.com,43460,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"advertising, e-commerce, social media management",Puddle is a social peer-to-peer lending marketplace. Puddle lets anyone create a line of credit on-the-fly with their friends.,"Puddle is the first tool for credit in the US that anyone can use â€“ not based on your credit score, but based on people that trust you."
Tremus,selfscore.com,44743,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"manufacturing, medical, sporting goods",Tremus is a sports technical and medical protective wear for athletes.,Tremus Inc d/b/a SelfScore provides international student credit cards and other financial products to international students studying in the United States. Selfscore measures creditworthiness using alternative data and methods via their proprietary framework and algorithms.
RealtyMogul.com,realtymogul.com,43881,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"fintech, marketplace, real estate, real estate investment","We're an online marketplace for real estate investing, connecting borrowers and sponsors to individual and institutional investors.","RealtyMogul.com is an online marketplace for real estate investing, connecting borrowers and sponsors to capital from accredited and institutional investors.  Through an online platform, RealtyMogul.com gives borrowers access to debt capital, sponsors access to equity capital and investors tools to browse investments, do due diligence and invest online.  RealtyMogul.com offers bridge and permanent loans and joint venture equity.
With over 80,000 registered investors calling themselves RealtyMogul.com members, our devoted community has invested over $200 million in over 350 properties, valued at over $800 million. And for their efforts they have received millions in distributions.
For accredited and institutional investors looking to diversify their portfolio, RealtyMogul.com offers a fast, easy, frictionless platform that serves as a 21st century bridge connecting them to previously inaccessible investment opportunities.
And for both real estate investment sponsors looking to raise joint venture equity and borrowers looking for flexible debt, RealtyMogul.com provides access to equity and debt that would likely take several months to secure through more traditional means (and by â€œtraditionalâ€, we mean â€œslowâ€ and â€œrestrictiveâ€)
So whether you are an accredited or institutional investor wanting to diversify your portfolio across real estate asset classes, a borrower in search of a flexible loan, or a real estate investment sponsor looking to raise joint venture equity, join Realty Mogul today to take your real estate investing into the 21st century."
CircleBack Lending,circlebacklending.com,53808,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"finance, financial services, impact investing",CircleBack Lending is an internet-based credit platform for purchasing fixed income assets backed by consumer credit products.,"CircleBack Lending is an Internet-based consumer lending platform with a two-part mission. First, it aims to provide prime and super-prime consumers in the United States a fast and efficient way to borrow money at attractive interest rates. Second, it offers institutional and high-net-worth individual investors a robust, transparent platform to invest in these consumer loans.
The Internet has already become the primary place for individuals to manage their personal finances. CircleBack Lending believes this trend will continue, especially as more traditional banks and lending institutions maintain extremely tight credit policies, even for credit-worthy borrowers. It also believes that professional investors will continue to deploy capital into consumer credit to diversify their portfolios beyond traditional stocks and bonds."
Marlette Funding,marlettefunding.com,40340,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, fintech, lending",Marlette Funding is a financial tech company tasked to empower customers,"Marlette Funding is reinventing outdated, slow and confusing financial products and services. And our customers, and partners, couldn't be happier."
Dealstruck,dealstruck.com,55386,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"finance, financial services, local business, marketplace",Dealstruck is the best place for small businesses to finance growth.,"The Dealstruck lending marketplace connects profitable, small- and medium-sized businesses with individual and institutional accredited investors. Unlike the one-size-fits-all approach offered to them by banks and the high-cost, short-term credit offered to them by alternative lenders, Dealstruck provides more patient growth capital that allows businesses time to plan and execute for maximum success. Dealstruck is the first to combine thorough credit screening on business borrowers and to allow investors the freedom to choose specific investments so they can build a customized portfolio that meets their own preferences on risk, return, industry and size."
InvestNextDoor,investnextdoor.com,61542,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Term loans,Alternative lending-Commercial Lending-Term loans,"crowdfunding, small and medium businesses",Our mission is to lead communities through a capital transformation.,"Our mission is to lead communities through a capital transformation.  InvestNextDoor has created the first community-engaged capital marketplace. Our marketplace creates a new source of reasonably priced capital for small businesses, better returns for Main Street investors and longevity for community-based banks and credit unions.  
Focusing on communities first amplifies the economic effects of consumer investment in small businesses by keeping more of the benefits of the borrowing lifecycle within a given community.  Education, access, transparency and fairness are our core values.
We started InvestNextDoor because we believe that for most of us, borrowing and investing models are broken.  We've hit the reset button and started fresh.  By going back to basics we've more than made it better, we've made it social and fun and impactful.
We're a brand new kind of financial services company, and we've already made things better."
SimplyCredit,simplycreditinc.com,45164,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"financial services, machine learning, personal finance","At SimplyCredit, our mission is to transform consumer lending as it is known today.","At SimplyCredit, our mission is to transform consumer lending as it is known today. We believe in doing right by the consumer: no fees, no penalty pricing, no gotchas, and no fine print. We want to bring sanity back to lending, stand behind our underwriting, and make sure consumers are getting the value and service they deserve. Using advanced technologies, we are creating credit and lending innovations in line with these values, all delivered through seamless customer experience."
Avant,avant.com,80143,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"consumer lending, finance, financial services, fintech, lending","Changing the way you borrow with safer, faster, better financial products","Avant operates an online marketplace that provides users with access to personal loans to consolidate debt, pay unexpected medical expenses, and for family vacations. Through the use of big data and machine-learning algorithms, the company offers a customized approach to streamline credit options. The company caters to consumers in the United States and the United Kingdom. Headquartered in Chicago, Illinois, Avant was founded in November 2012."
SunUp Financial (Balance Credit),balancecredit.com,51616,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Personal loans,Alternative lending-Consumer lending-Personal loans,"banking, credit, finance",Balance Credit was built for when things donâ€™t go according to plan.,"Balance Credit is an online lender that provides families and individuals with personal installment loans and credit services. It offers clear rates and terms, toll-free customer support, and the ability to pay off early with no penalties, at any time.
Balance Credit is licensed and regulated in each U.S. state where it operates. It was founded in 2013 and is based in Irving, Texas."
