,Test_document,Expected_result,decision_model_8,decision_model_8_accuracy
103,fintech real time fintech real time lendedu help consum compar person financ product lendedu.com onlin marketplac person financ product lendedu.com launch novemb 2014 marketplac student loan refinanc sinc compani expand product includ student loan person loan bank product insur product invest product auto loan credit card lendedu.com free servic consum,Lead generation platform,Personal loans,36.61971830985916
114,credit financ financi servic credit financ financi servic qredit abl provid small loan dutch sme compani qredit helpt startend en bestaand ondernem bij het succesvol door starten van hun bedrijf dit doen door het aanbieden van ondernemerstool persoonlijk coach ??n het verstrekken van bedrijfskredieten tot ???250.000 on doel om dromen van ondernem mogelijk te maken vertrouwend op de kracht van het ondernemerschap de kracht van een go ide daarbij kijken wij liever naar de toekomst dan naar het verleden,Lead generation platform,Personal loans,36.61971830985916
248,commerci lend credit financi servic small medium busi commerci lend credit financi servic small medium busi camino financi community-bas lender latino-own busi unmet credit demand 6.8 billion u.s. camino financi community-bas lender latino-own busi unmet credit demand 6.8 billion u. compani built loan product educ experi help busi improv financi perform graduat lower interest rate longer term loan,Lead generation platform,Working Capital ,36.61971830985916
1,credit financ internet marketplac credit financ internet marketplac apnaloan onlin marketplac provid home loan person loan credit card custom india apnaloan onlin marketplac home loan person loan credit card india idea apnaloan bank compet loan turn mean get better rate compani say apnaloan `` largest onlin marketplac loan credit card '' http //www.dialabank.com/emi-calculator.cfm,Lead generation platform,Personal loans,36.61971830985916
101,"financi servic fintech financi servic fintech loanbaba.com oper consum lend marketplac base mumbai india loanbaba.com oper consum lend marketplac home person car busi loan user find compar packag rate partner bank select one also get applic process faster ad salari slip incom tax return sheet found 2014 loanbaba.com rais 320,000 angel round fund use technolog enhanc market",Lead generation platform,Lead generation platform,36.61971830985916
4,e-commerc onlin portal shop e-commerc onlin portal shop affordit.com site enabl custom purchas product week payment basi affordit site allow custom purchas product financ week payment custom purchas product sing debit credit card account payment deduct consecut week payment also deduct,Purchase Financing ,Purchase Financing ,36.61971830985916
162,e-commerc servic industri shop e-commerc servic industri shop fenqil web-bas onlin shop mall offer wide rang product fenqil web-bas onlin shop mall offer wide rang product mobil phone person comput camera beauti product base shenzhen guangdong china,Purchase Financing ,Personal loans,36.61971830985916
161,e-commerc financi servic payment e-commerc financi servic payment get lowest price leas option latest comput electron applianc furnitur flexshopp provid flexibl easi way get furnitur electron applianc popular brand name good low afford week payment goal get approv leas amount need take home product want dedic provid ultim custom servic experi us smooth begin end transact us confidenti secur relax get approv spend limit go shop enjoy,Purchase Financing ,Personal loans,36.61971830985916
56,e-commerc financi servic fintech internet retail e-commerc financi servic fintech internet retail aixuedai aixuedai onlin payment platform financ purchas consum electron made colleg student mainland china launch decemb 2012 allow student buy item phone tablet laptop camera use month instal plan custom need two photo id one student id appli loan find item want e-commerc site past url applic choos number month want pay money back option desir payment,Purchase Financing ,Purchase Financing ,36.61971830985916
135,energi effici financi servic fintech renew energi energi effici financi servic fintech renew energi figtre ondemandpac program provid pace figtre financ provid client program facilit capit environment friend product servic san diego california-bas clean energi financ compani also offer pace financ support commerci properti owner improv properti lower util bill energi effici renew energi water conserv upgrad found 2010 mahesh shah figtre financ special smart invest energi save emiss reduct properti owner focus small commerci market struggl keep pace linear growth residenti solar,Purchase Financing ,Personal loans,36.61971830985916
274,"big data e-commerc financ big data e-commerc financ zibbi cognic compani nonprim payment option onlin shopper zibbi help retail captur price sensit custom zibbi consum leas platform onlin brick mortar omnichannel retail custom appli 30 second in-stor via zibbi button retailer??? websit approv 300 3,500 zibbi increas retail sale provid fast easi leas payment option nonprim consum seek acquir furnitur applianc electron consum durabl zibbi found cornel univers base new york citi",Purchase Financing ,Others,36.61971830985916
304,fintech payment fintech payment simpl 's mission make money simpl peopl live well amaz thing simpl??? mission make money simpl peopl live well amaz thing simpl??? first product payment option let skip pay repeat instead pay later multipl order one go multipl verif payment failur fumbl chang order arriv,Purchase Financing ,Purchase Financing ,36.61971830985916
68,commerci lend financ financi servic fintech commerci lend financ financi servic fintech capit provid capit small medium-s busi use real-tim platform risk-scor model capit provid capit small medium-s busi use real-tim platform risk-scor model daili remitt platform allow lender access daili cash flow borrow collect daili remitt platform give lender window customers??? daili busi reli payment processor split settlement card transact small busi bank capit inc. former known capit access network inc. chang name capit inc. decemb 2013 compani found 1998 base new york unit state,Working Capital ,Working Capital ,36.61971830985916
300,financi servic lend financi servic lend popul invoic trade financ platform built use latest blockchain technolog popul invoic trade financ platform built use latest blockchain technolog popul use xbrl z score formula smart contract stabl token creat uniqu trade environ investor invoic seller around world read popul believ creat next generat fnancial marketplac,Working Capital ,Personal loans,36.61971830985916
164,financi servic inform technolog mobil app financi servic inform technolog mobil app consult compani system need custom opensourc erp execut implement spiderg platform busi electron transact communic vendors/suppli custom get action inform busi suppli chain,Working Capital ,Working Capital ,36.61971830985916
204,financi servic financi servic numberz realis run busi sure commend task numberz realis run busi sure commend task mani time understand manag one critic resourc cash flow becom daunt excercis 's numberz endevour help number liter continu pursu dream,Working Capital ,Working Capital ,36.61971830985916
294,asset manag financi servic lend asset manag financi servic lend iqianbang help make money onlin invest financi platform invest financi user loan user iqianbang help make money onlin invest financi platform invest financi user loan user end provid fair transpar safe effici network loan manag servic,Working Capital ,Personal loans,36.61971830985916
9,financ financ bilbus work capit platform help small busi invoic collect connect commerci lender via singl dashboard bilbus unlock commerci lend smbs give busi visibl work need cash simplifi meet fund gap bilbus work capit platform enabl small busi invoic collect connect commerci lender via singl dashboard,Working Capital ,Working Capital ,36.61971830985916
189,digit media financ fintech digit media financ fintech fastpay definit financi platform digit media found 2009 offic los angel new york london fastpay provid liquid financi workflow solut global media industri sinc incept fastpay origin 1 billion loan publish network exchang dsps ssps agenc app develop,Working Capital ,Term loans,36.61971830985916
270,marketplac onlin portal trade platform marketplac onlin portal trade platform qupit digit trade marketplac buyer seller corpor receiv qupit digit trade marketplac buyer seller corpor receiv,Working Capital ,Lead generation platform,36.61971830985916
94,consum lend financi servic fintech payment consum lend financi servic fintech payment kaixindai p2p lend platform kaixindai peer-to-p lend platform provid network invest financ servic client found 2012 compani base nanj jiangsu,Working Capital ,Term loans,36.61971830985916
112,"consum lend fintech lend peer peer consum lend fintech lend peer peer weijinsuo peer-to-p lend platform current help shape chines altern financ space base beij china weijinsuo peer-to-p lend platform cover area credit collect assess manag company??? senior manag staff 10 year experi bank manag risk manag industri shape chines altern financ space provid investor averag annual yield around 11.7 36 month lock-up period company??? seri invest round led hna capit group establish 2010 weijinsuo compris 700,000 regist user complet aggreg transact valu 616 million u.s. dollar",Working Capital ,Term loans,36.61971830985916
243,financi servic fintech financi servic fintech help take charg credit health get free credit score onlin get free credit health analysi cibil equifax report creditmantri india focuss digit credit facilit intent leverag power technolog digit medium empow borrow lender make effici credit decis consum servic creditmantri help user understand status credit health build credit profil user 's credit profil creat data user 's credit histori score bureau enhanc data altern data sourc base individu 's credit profil consum 's guid toward solut best match profil discoveri loan credit card credit improv servic lender servic creditmantri offer rang lender specif servic includ 1 marketplac list credit product 2 solut help lender offer product new credit user enabl instant credit decis use altern data 3 verif servic creditmantri work 30 lender make avail close 50 credit product servic,Others,Others,36.61971830985916
29,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Others,Others,36.61971830985916
236,"financ financi servic lend financ financi servic lend re make mortgag fast simpl total better better re make get mortgag fast simpl total better offic nyc re revolution 13 trillion industri american pay hous almost els combin ?? ? 33 person consumpt expenditur yet somehow mortgag process still take near 50 day cost 5,000 administr fee requir 225 page paper endless phone call commiss loan broker think insan ?? ? we???r fix team combin lead technologist compani like spotifi googl mortgag bank three generat experi togeth we???r use data scienc machin learn ux design make mortgag experi ?? ? enjoy excit part biggest transact americans??? live",Others,Others,36.61971830985916
76,"crowdfund educ enterpris softwar financ crowdfund educ enterpris softwar financ india 's largest crowdfund platform milaap india 's lead crowdfund platform person social caus rais money person caus emerg love one neighbourhood project social caus 12 million rais 50,000+ project across india",Others,Others,36.61971830985916
157,credit financi servic machin learn person financ risk manag credit financi servic machin learn person financ risk manag creditvidya startup analyz data get credit score creditvidya believ power altern data technolog help lender make accur credit decis mission simpl enabl access fair transpar credit 800 million un-scor indian bunch engin sole mission enabl access fair transpar credit 800 million+ un-scor indian tradit method credit asses fail miser india outdat method look repay histori individu give credit score creditvidya har power big data advanc machin learn techniqu re-imagin re-build credit score,Others,Personal loans,36.61971830985916
136,app financi servic app financi servic branch new way access credit smartphon emerg market branch elimin challeng get loan use data phone creat credit score encrypt data choos share us protect privaci share inform third parti,Others,Others,36.61971830985916
15,analyt predict analyt servic industri analyt predict analyt servic industri l2c nation 's lead provid advanc consum score analyt solut l2c nation 's lead provid advanc consum score analyt solut l2c leverag altern payment asset data creat new predict credit collect market score 260 million american l2c????????s client includ lead institut financi servic retail healthcar automot telecommun media entertain industri,Others,Others,36.61971830985916
197,financi servic financi servic creditm fintech focus use vehicl financ india pos onlin credit distribut creditm fintech focus 8bn cagr 25 use motorcycl market india india world largest two wheeler market 40m new use bike sold day go market via network dealer enabl technolog allow dealer assess process loan insur point sale also oper direct consum websit enabl consum consum transact technolog credit engin mean abl process lend fast current lend 50 new credit 50 self employ borrow lend secur asset addit tech enabl optim collect success built full loan manag system allow lend partner quick effici integr grow team 30 peopl base mumbai india,Others,Others,36.61971830985916
49,colleg recruit educ financi servic web develop colleg recruit educ financi servic web develop connect busi talent talent fund educ chang way fund educ train hire move past job site agenc us coderloan connect talent aspir coder compani look junior develop re student profession look career chang program help find right train program busi hire manag platform make easi identifi candid skill educ best match junior posit,Others,Term loans,36.61971830985916
293,consum lend financ fintech consum lend financ fintech lendkey technolog develop cloud-bas platform connect lender borrow facilit onlin lend loan lendkey financi technolog compani creat white-label lend solut transform financi institut profit digit lend busi compani manag entir lend process includ demand generat onlin decis loan origin custom servic balanc sheet manag base new york cincinnati compani found 2009,Others,Working Capital ,36.61971830985916
116,bank consum lend credit financi servic fintech bank consum lend credit financi servic fintech re build modern bank next generat base san francisco earnest technology-en lend compani use data scienc design softwar autom rebuild financi servic solut enabl custom renegoti loan repay amount interest rate exist loan compani evalu financially-respons people??? full educ employ financi profil base credit score reward better rate person loan student loan refinanc addit offer onlin dashboard give client tool need easili control custom loan payment compani establish 2013,Others,Personal loans,36.61971830985916
92,busi develop financi servic fintech lend marketplac busi develop financi servic fintech lend marketplac driverup first onlin auto lend marketplac accredit investor driverup onlin marketplac offer automot financ servic platform util proprietari technolog creat direct-to-investor option user integr softwar advanc data analyt marketplac enabl effici process direct invest auto loan full transpar report also first mechan offer accredit investor hedg fund famili offic high net-worth individu opportun particip direct high-yield auto lend launch 2012 marketplac oper dalla texa,Others,Term loans,36.61971830985916
336,milaap india 's number one crowdfund platform websit india fundrais crowdfund india simplifi,Others,Working Capital ,36.61971830985916
223,clean energi energi energi effici clean energi energi energi effici provid turnkey properti assess clean energi pace program citi counti commerci ygrene energi fund nation??? lead multi-st provid residenti commerci properti assess clean energi financ award-win privat fund ygrenework program provid immedi access financ upfront cost energi effici renew water conserv certain area hurrican protect electr vehicl charg station seismic upgrad ygrene commit make easi famili invest futur healthier environ next five year ygrenework project creat ten thousand local job invest hundr million local economi,Others,Term loans,36.61971830985916
7,financ fintech real estat financ fintech real estat financi real estat consum websit base santa ana california busi sinc 2006 icanbuy provid accur real-tim mortgag loan rate comparison instant consum base uniqu financi credit profil icanbuy???????? disrupt technolog platform develop cut confus mortgag market inform empow homebuy make sound financi decis find lowest mortgag rate unlik tradit mortgag comparison site simpli captur consum inform without provid mortgag rate inform icanbuy provid consum depth loan rate inform allow consum compar lender loan product select lender want work learn www.icanbuy.com,Others,0,36.61971830985916
303,bank financi servic fintech softwar bank financi servic fintech softwar insikt reinvent world fintech revolutionari platform enabl brand lend custom lend servic insikt sprung realize brand bank lender tomorrow tradit bank littl interest make small person loan n't kept fast-pac world technolog unequip har power data evolv world financ insikt 's uniqu data driven technolog combin notabl stride fintech reinvent world lend bring credit opportun mass social media technolog creat new relationship consum tomorrow??? lender media giant retail everyday brand offer custom path financi mainstream believ remark platform handl score servic technolog capit futur lend ???lend servic '' describ process put power provid fair price credit-build person loan direct hand brand seek deepen bond custom stay tune re get start,Others,Personal loans,36.61971830985916
250,credit educ fintech credit educ fintech climb new kind lend compani strive work school consist improv live student climb credit financ educ work identifi school consist improv graduat earn potenti justifi cost tuition provid simpl fast afford loan student help meet career financi goal know student credit score factor power transform educ climb offer student better rate -- strive financ educ posit impact student live,Others,Personal loans,36.61971830985916
334,financi servic micro lend financi servic micro lend microenergi credit social enterpris provid consum develop countri clean energi product microenergi credit social enterpris provid consum develop countri clean energi product help microfin institut start clean energi lend program strengthen cloud-bas technolog last-mil servic scale carbon financ company??? product includ heat cook stove solar led light product solar home system water purif system clean household packag includ solar light effici stove water filter exact product specif packag vari local depend market research custom feedback given locat packag design local afford enough consum pay back microloan within 8 month microenergi credit co-found jame dailey https //www.crunchbase.com/person/james-dailey-2 april allderdic https //www.crunchbase.com/person/april-allderdic 2007 base seattl washington,Others,Personal loans,36.61971830985916
302,financi servic financi servic digilend analyt technolog marketplac enabl individu like avail unsecur person loan digilend marketplac enabl individu like avail unsecur person loan differ need like educ travel holiday wed home improv debt consolid emerg need etc need cash loan bank loan look provid onlin instant quick loan competit interest rate digilend??? endeavour make get loan easier onlin instant credit evalu connect right lender provid everyon easi conveni access credit,Personal loans,Personal loans,36.61971830985916
125,credit financ financi servic credit financ financi servic fig help financi emerg build credit toward better futur fig partner famili houston offer loan 80 cheaper design get debt fig help financi emerg build credit toward better futur,Personal loans,Personal loans,36.61971830985916
249,credit financi servic fintech credit financi servic fintech lend street lend platform debt restructur refinanc lendstreet mission simpl help peopl get debt rebuild credit get fresh start partnership within financi sector allow negoti discount debt mean pass discount custom turn get debt sooner rebuild credit get live,Personal loans,Others,36.61971830985916
308,ace cash express provid payday loan prepaid debit card cash kind payrol check,Personal loans,Term loans,36.61971830985916
128,financ financ cumulus fund provid fund help make purchas pay loan credit card bill cumulus fund invest american worker mani peopl countri need access fund mani differ reason recogn mani case tradit bank lender unwil unabl meet individuals??? need loan avail made term extrem favor bank ?? ? high inflex interest payment multipl hidden fee servic charg often requir can???t make payment bank come take person asset pledg collater,Personal loans,Purchase Financing ,36.61971830985916
59,consum lend debit card financi servic fintech consum lend debit card financi servic fintech oportun provid afford loan help peopl littl credit histori establish credit build better futur oportun use advanc data analyt technolog provid respons afford person loan peopl littl credit histori ?? ? peopl other consid ???unscoreable.??? sinc found 2005 oportun help million custom disburs 4 billion small dollar loan report account inform credit bureaus custom establish credit histori need compani oper 240+ retail locat deliv custom servic english spanish across channel includ mobil oportun loan current avail arizona california illinoi missouri nevada new mexico texa utah,Personal loans,Others,36.61971830985916
254,"credit financi servic lend onlin portal credit financi servic lend onlin portal upgrad lend compani offer credit monitor platform free upgrad onlin lend platform combin person loan free credit monitor help secur afford credit long run learn http //upgrade.com/ upgrad offer loan 50,000 low fix rate afford month payment prepay fee one-pag onlin applic quick easi you???ll get decis second negat impact credit score repay plan either 36 60 month get choos loan fit budget timelin approv loan fund next day use fund pay credit card major purchas home improv we???r help build financi futur set success choos custom due date sign automat payment circl date calendar debt free come month we???ll also launch new tool help better manag monitor credit score two member found team renaud laplanch soul htite co-found lend club pioneer marketplac lend facilit 24 billion loan made credit afford near 2 million american famili last decad soul also found dianrong one largest marketplac lend platform china founder design new credit platform attempt creat even valu custom help peopl",Personal loans,Others,36.61971830985916
73,analyt consum lend financ financi servic fintech innov manag machin learn person financ analyt consum lend financ financi servic fintech innov manag machin learn person financ argon credit onlin person loan startup current grow u.s. plan expand u.k. europ australia base chicago illinoi argon credit decis engine-bas lend platform prime near-prim borrow seek immedi access onlin person loan platform leverag proprietari algorithm data analyt comb vast array prospective-borrow attribut real time approv disapprov loan applic argon credit found decemb 2013,Personal loans,Personal loans,36.61971830985916
17,credit financ credit financ contigo financi facilit web-bas platform provid employe financi product short-term loan contigo disrupt subprim lend industri offer innov financi product least access partner employ provid socially-respons short-term low-cost loan offer benefit employe lack strong credit histori credit extend employe robust web-bas platform proprietari underwrit model contigo graduat jumpstart foundri acceler program winner vanderbilt univers 's sohr grant startup,Personal loans,Personal loans,36.61971830985916
263,"financi servic fintech financi servic fintech earlysalary.com new fintech start-up pune help broke earlysalari salari advanc mobil applic enabl indian user borrow money urgent cash requir get month wage aim help individu face month-end mid-month financi crisi provid small loan receiv salari user applic abl login though facebook account communic amount need loan date could settl submit basic document get money credit bank account earlysalari offer loan 1,000 inr 100,000 inr payback term rang 7 50 day",Personal loans,Term loans,36.61971830985916
259,unlock home equiti wealth consum without interest month payment,Personal loans,Working Capital ,36.61971830985916
13,financ financ yatto social fund platform enabl user organ social fund circl use facebook account yatto new social fund platform base trust reput social inner circl yatto let organ social fund circl a.k.a yatto use facebook account invit trust friend famili peer dear one everi particip yatto receiv social fund group differ date make his/her dream come true fulfil person caus famili urgenc educ cost healthcar travel comput kid endeavor worldwid caus etc,Personal loans,Working Capital ,36.61971830985916
228,rental rental properti servic industri rental rental properti servic industri instal payment platform hous rent,Personal loans,Personal loans,36.61971830985916
210,credit financi servic fintech credit financi servic fintech moneylion use big data revolution consum lend help peopl achiev financi well moneylion lead mobil person financ consum lend platform empow consum take control financi live free spend save credit track tool smarter credit product found 2013 team lead technologist financi moneylion use superior analyt machin learning-bas risk technolog gain 360-degre view users??? person financ enabl better underwrit develop tailor financi product offer built-in system referr point reward moneylion endors good financi behavior moneylion headquart new york offic san francisco kuala lumpur malaysia inform visit www.moneylion.com download app https //bnc.lt/e1yh/dnjaqcawrd,Personal loans,Personal loans,36.61971830985916
187,financ fintech lend person financ financ fintech lend person financ welab analyz unstructur mobil big data within second make credit decis individu borrow found 2013 hong kong welab reinvent tradit financi servic creat seamless mobil lend experi proprietari risk manag technolog welab effect analyz unstructur mobil big data within second make credit decis individu borrow welab oper wolaidai ?? ? ?????? one china??? lead mobil lend platform welend hong kong??? lead onlin lend platform compani also partner tradit financi institut util welab??? technolog offer fintech-en solut custom welab??? investor includ ck hutchison??? tom group khazanah nasion berhad ing silicon valley-bas ventur capit fund sequoia capit tom group??? ule.com guangdong technolog financi group accord kpmg cb insight fundrais fourth largest fintech deal first quarter 2016 global,Personal loans,Personal loans,36.61971830985916
105,bank financi servic bank financi servic kountmoney websit user appli loan varieti reason kountmoney onlin platform connect creditworthi borrow across india institut lender borrow salari employe look unsecur loan lower interest rate quick disburs,Personal loans,Lead generation platform,36.61971830985916
268,"person financ person financ help receiv cash advanc immedi without formal paperwork 100 onlin hello 'm moni fanpag ask advanc 4,000 's simpl complet onlin form immedi confirm approv ll transfer within day bank account devolv?? like also easi day debitar?? agre bank account arriv end meet tight left trip friend unexpect want go mega concert help short term loan solv situat join www.moni.com.ar ll see easi",Personal loans,Others,36.61971830985916
326,incr,0,Working Capital ,36.61971830985916
