id,company_name,domain_name,specialties,short_description,about_us,horizontal,technology_segment1,technology_segment2,technology_segment3,technology_segment4,business_model
140548,Mailblast,mailblast.io,0,Mailblast allows marketers to use Amazon SES to send emails at a fraction of the cost of traditional email marketing services.,"Mailblast allows marketers to send emails at a fraction of the cost of traditional email marketing services.  Leveraging Amazon's Simple Email Service, marketers can send highly deliverable emails for as low as $0.10 per thousand emails.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Email,Marketing-Content Marketing-Content Distribution-Email
270054,Listbox,listbox.com,Internet,Listbox offers affordable opt-in email marketing services to businesses of any scale.,"Listbox offers affordable opt-in email marketing services to businesses of any scale.   With pre-built templates and easy-to-use tools, Listbox helps administrators in sending a campaign or newsletters to many recipients.   The company is headquartered in Philadelphia, Pennsylvania, United States.'",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Email,Marketing-Content Marketing-Content Distribution-Email
184514,AllTheContent,allthecontent.com,"Digital Media,Internet,Enterprise Software,Mobile,Content",AllTheContent is a press agency with an outsourced talent pool of professionals.,"AllTheContent.com has the mission to transform content rights in a liquid commodity for a media industry that currently loses value by still thinking in 20th century silos (languages, platform). Our ecosystem combines buyers and sellers with selected adaptation services providers and breaks silos. It provides value to each player and ensures us to be there every time the money changes hand. If content is king, our marketplace is the kingdom.",Enterprise Apps,Marketing,Content Marketing,Content Creation,0,Marketing-Content Marketing-Content Creation-0
228753,Enteract Media,enteract-media.com,"Loyalty Programs,Advertising,Social Media",Enteract Media is a social ad network that helps companies conduct in-stream advertising and acquire customers.,"Enteract Media brings customers together with the brands they love.  Enteract Media is an action-based ad network that aggregates users' social inventory and rewards them in exchange for their brand evangelism.  In return for giving consumers access to relevant and compelling deals & content, Enteract Media enables brands to participate in the social graph in a way that is meaningful, transparent and trustworthy.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Social Media,Marketing-Content Marketing-Content Distribution-Social Media
126048,Endorsify,endorsify.co,"Social Media Marketing,Machine Learning",Endorsify helps marketers manage user-generated content,"Endorsify helps marketers establish and organize relationships with content creators. We allow brands to easily search, track, manage and pay influencers for user-generated content. Endorsify features include Messaging, Content Search, Fair Market Value Pricing and our Suggested Influencers Tool. We focus on creating features using machine learning, data science, image recognition, classification and natural language processing to help marketers make informed decisions.",Enterprise Apps,Marketing,Content Marketing,Content Creation,0,Marketing-Content Marketing-Content Creation-0
177126,Onenet,1net.me,"CRM,Software,E-Commerce","1net.me offers businesses with marketing services that focus on e-commerce, mail campaigns, and customer feedback and engagement.","Onenet enable SMBs and channel partners with a state-of-the-art Cloud-base sales and marketing Eco-system.  Onenet send sales, offers & information relevant to potential customers based on interest, location & life style  Onenet automatically detects a customer's needs and displays for him products & promotions based on his web surfing & shopping  Onenet keep in touch with your loyalty program members. inform them on all your new cool stuff that is going on.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
131219,GoCinchy,gocinchy.com,"Social Media Marketing,Social Bookmarking,Software,Enterprise Software",A Social Media Marketing Platform to help Small and Midsize Businesses accomplish their marketing goals with minimal efforts and funds.,"GoCinchy is a bookmark manager that organizes the bookmarks of its users according to their choice. It enables users to broadly classify their bookmarks info into various customizable spaces and gives them fine control to organize bookmarks with tags and keywords. GoCinchy also integrates with its users‰Ûª web browser, allowing them to bookmark any site they are currently visiting with a click of their mouse.  GoCinchy offers multiple ways to organize, categorize, and display bookmarks, it hopes to help users become more efficient users of the web and in turn make the web a more organized place. It was launched in 2014.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Social Media,Marketing-Content Marketing-Content Distribution-Social Media
274327,MarketGoo,marketgoo.com,"Software,Semantic Search,Search Engine,SEO,SaaS",MarketGoo is a search engine optimization app that helps business get discovered on the web.,"Madrid-based MarketGoo offers solutions for SMBs to grow their business online by providing powerful, yet simple and easy to use website marketing and search optimization tools.   MarketGoo is also available as a white label, turnkey solution to monetise and educate website customers. Partners such as Telcos, Hosting companies and providers are currently distributing it to enhance their value-added portfolios.",Enterprise Apps,Marketing,Search Engine Optimization,0,0,Marketing-Search Engine Optimization-0-0
41471,Ncrease,ncrease.io,"Predictive Analytics,Social Media,Analytics,Big Data,SaaS","Real-time insights about your customers‰Ûª social behaviors, delivered daily.","Ncrease provides real time insights about customers‰Ûª social behaviors, along with recommended content sharing actions, so businesses can effectively market to their actual users, not followers.  Social marketing tools are great at analyzing a company's followers and fans, but fail at determining which of those followers are their actual users. This is leading to nearly $700 million dollars of wasted spending on tools measuring follower sentiment instead of actual customers.  Their social intelligence platform taps into the rich user data collected from social logins. They analyze common themes within a business's customers‰Ûª social behaviors to provide real-time insights, trends, and actions to continuously engage their true customers, and identify new ones with a high likelihood to convert.",Enterprise Apps,Marketing,Social Media Monitoring,0,0,Marketing-Social Media Monitoring-0-0
125286,EchoRank,echorank.io,Search Engine,EchoRank is a viral analytics & social media monitoring service that unlocks the value in social networks with actionable growth insights.,"EchoRank unlocks the value in social networks by supplying viral analytics and publishing solutions for marketers to create measurable social channels for user acquisition, retention, and engagement.    EchoRank provides viral growth insights using its unique patent pending virality score to measure the global penetration rate of content, conversations, and media channels (iTunes, Spotify, SoundCloud, YouTube) on or across social networks. They are certified data partners utilizing Twitter and Facebook data.",Enterprise Apps,Marketing,Social Media Monitoring,0,0,Marketing-Social Media Monitoring-0-0
310066,Rippll,rippll.com,"Mobile,Apps,Location Based Services",Rippll offers location-based messaging and turn-key app solutions.,"Rippll offers location-based messaging and turn-key app solutions. It provides Geowave, a geo-tagging service for mobile apps; and Pushdrom, an automated push messaging solution for mobile apps. The company was founded in 2008 and is based in London, United Kingdom.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Mobile,Marketing-Content Marketing-Content Distribution-Mobile
294417,PageDo,pagedo.com,"Test and Measurement,Web Design,Advertising",PageDo is software developed to test and build marketing landing pages.,"PageDo is an online service for building and testing highly effective landing pages for marketing, advertising and social media campaigns. PageDo provides all the tools to build simple landing pages that are optimized for gathering responses from a specific target audience.",Enterprise Apps,Marketing,Conversion Rate Optimization,Landing Pages,0,Marketing-Conversion Rate Optimization-Landing Pages-0
310328,RL Club,rlclub.pro,0,"White-label interactive marketing communication channel between retailers, shoppers, and partners (telecommunication, shopping malls, banks)","RLClub.pro was founded in 2013 with the development based in Europe and international footprint expanding across APAC, the North America and the Middle East. Our experienced, international 25-strong team builds white-label interactive marketing communication channels between retailers, shoppers, and our partners (currently including telecommunication companies, shopping malls, and consumer brands).  They allow our app users to pay for goods and services by consuming targeted advertisement.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
92216,Kdan Mobile,kdanmobile.com,"Mobile,Market Research,Software",We provides software solutions to make your life better. More than 100 million have witnessed the quality of our works firsthand up to date.,"Kdan Mobile is a preacher of digital content creation. They foster ways to create contents with modern technology platforms; they inspire people to impress others with creativity; and they enhance productivity to achieve business goals with pioneering tools.  Since 2009, Kdan Mobile has focused on building mobile software applications and online services that allow users to better leverage their productivity and creativity. To date, Kdan Mobile‰Ûªs works have been backed by more than 100 million downloads worldwide. Our solutions empower the world to create, distribute, and conjoin projects via the use of mainstream digital devices.",Enterprise Apps,Marketing,Content Marketing,Content Creation,0,Marketing-Content Marketing-Content Creation-0
59024,GetSocial,getsocial.io,"SaaS,Social Media Marketing,Content,Software",GetSocial is a social analytics platform that helps content creators make better decisions on which stories to promote on social media.,"Hi, They're [GetSocial](http://www.getsocial.io). Our vision is to change how content creators acquire, monetize and develop their audiences.  Publishers, content creators and audience developers are struggling to find new sustainable ways to acquire traffic and monetize their websites. While 83% of digital marketing spent impacts only 10% of the web's traffic (paid channels), these guys have shifted their focus into the marvelous world of inbound.  You might have heard, content is king and everyone's doing it. But getting your content out there is just not enough, if you're working on a startup's blog or you own a multi-million visits per month e-mag.   If you're big enough you might have the team and resources to have a team identify which of your stories are becoming viral on social networks.   If you're not, GetSocial is for you. We‰Ûªre a social analytics platform that helps content creators & audience developers to make better decisions on which stories to promote and invest on social media.",Enterprise Apps,Marketing,Conversion Rate Optimization,Web Analytics,0,Marketing-Conversion Rate Optimization-Web Analytics-0
151384,Replypro,replypro.io,Software,"Monky Trends create awesome, easy-to-use software to help businesses understand and manage their online reputation.","They create awesome, easy-to-use software to help businesses understand and manage their online reputation. They pride ourselves on the depth and accuracy of Their data. But They also know Their software must be intuitive, so all end-users ‰ÛÒ even the non-techies ‰ÛÒ know what their data means and how it can improve their business. Ultimately, They want to empower businesses with the tools and knowledge to create better customer experiences.",Enterprise Apps,Marketing,Social Media Monitoring,0,0,Marketing-Social Media Monitoring-0-0
210395,Cognesia,cognesia.com,"Personalization,Test and Measurement,Software",Cognesia‰Ûªs single minded pursuit is to help companies improve online conversion through a range of tailorable decision support tools.,Cognesia‰Ûªs single minded pursuit is to help companies improve online conversion through a range of tailorable decision support tools. Our modular decision support tools can be tailored to companies specific requirements while our content personalisation helps ensure the right content is presented to users. Our MVT testing software automates the ability to quickly test and promote the right messages to increase overall conversion.,Enterprise Apps,Marketing,Conversion Rate Optimization,0,0,Marketing-Conversion Rate Optimization-0-0
335461,Thereitis,thereitis.com,"Internet,E-Commerce",Thereitis is a company that provides interactive product displays for online retailers.,"Thereitis Interactive Display helps people find what they are looking for online quickly and easily by using the human ability to spot items of interest that 'catch their eye'.   People find things through visual clues like size, shape and colour and comparing these to other items by scanning multiple images quickly. A standard page on an e-commerce site does not have the available real estate that a human eye can typically see in a physical store. Once a user is forced to scroll to see more items they lose context and the benefits of visual search are lost. Traditional search and list view presentation means users who do not immediately see an item that interests them may result in a lost sale.   Visual Search is how we find things in everyday life. In the supermarket we explore the aisles scanning shelves looking for the brands we recognise. In a fashion store we browse items that suit our style knowing what we like 'when we see it'. In a crowded room of people we look for the faces, shapes and features of people we know. Thereitis interactive Display works in the same way and lets online retailers deliver a true Visual Search experience just like bricks and mortar stores.",Enterprise Apps,Marketing,Content Marketing,Content Creation,0,Marketing-Content Marketing-Content Creation-0
344311,User_Pulse,userpulse.com,E-Commerce,UserPulse is a U.K.-based e-commerce website that provides tools for enterprises to engage in sales promotions.,"UserPulse identifies those visitors most likely to buy while they are on a website, and provides the tools to engage in live chat to increase sales, reduce cart abandonment, but also avoid time-wasters.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
355635,YeteSoft,yetesoft.com,"Email Marketing,Email,Software",YeteSoft is a company that focuses on exploring new email marketing technology.,"Established in 2005, YeteSoft is a company that focuses on exploring new email marketing technology. Our pioneer product 1and1Mail gives every small and medium business the ability to easily create, schedule and send personalized mass emails, manage email contacts and design email newsletters.  In 2005, YeteSoft developed the first version of 1and1Mail email marketing software for our own business need of communicating with our loyal customers. Later we decided to commercialize 1and1Mail, so we offered it as a free tool online and received hundreds of positive feedbacks in a very short time.  1and1Mail now has three editions. For Free Edition, we have been offering the most powerful functions compared to all other email marketing software in the market. We, like you, hate to see a pop-up window asking for money every time you accidentally touch some advanced features. Instead, we simply set a limit on the number of emails you can send per batch. We firmly believe 1and1Mail can help you achieve more sales and acquire a much larger customer base. When your business excels with 1and1Mail, we would be quite happy if you purchase our Personal Edition or Business Edition to support your continuously growing business.  Internet has made the competition a lot fairer around the world. Small and medium business has the chance to outperform big giants through well-planned Internet marketing.  'I check my Facebook account only 3 times a day, but I check my email inbox every 15 minutes!'åù said one of YeteSoft's employees. We believe many of you have same feeling in life. Having grown with 1and1Mail for years, we YeteSofters have a faith in email marketing and the benefits 1and1Mail can bring to all small and medium business worldwide.  1and1Mail is not just a piece of software, but we hope to offer a platform to share our years of experience with you, get connected with you, and grow with you.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Email,Marketing-Content Marketing-Content Distribution-Email
292702,OptLook,optlook.net,"SaaS,Social Media,Internet",Get More Tra•ÂÄc From Social Media!,"Optlook is an innovative service that allows you to manage your social media optimization from A to Z. From now on, you don‰Ûªt need any expensive agencies. You don‰Ûªt need to dedicate your developers‰Ûª months to this issue.   You can get access to a report of your website‰Ûªs performance on social media. Optlook can automatically find and report mistakes in thousands of different pages at once. And, finally, you can choose the page you want to edit on the Optlook panel and make changes without the need of any kind of development process.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Social Media,Marketing-Content Marketing-Content Distribution-Social Media
271816,Loyl.Me,loyl.me,"Software,Advertising,Marketing Automation",Loyl.me is an automated marketing platform for small and medium businesses.,"Loyl.me is an automated marketing platform for small and medium businesses. The platform consists of a master database that combines different applications such as email, loyalty, SMS, ordering, and coupons into the single view of customers and an analytics and action engine that takes customer data and segments it. The company‰Ûªs services include mobile loyalty, verifiable offers, measurable mobile marketing, and gift cards.   Loyl.Me was founded by Jeff Dorchester and Dion Gonzales in June 2012 and is based in Denver, Colorado.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
321705,Sociallymap,sociallymap.com,Software,Sociallymap is a social media software for automation marketing.,"Sociallymap is a social media software for automation marketing. It enables agencies, major accounts, SMEs, and TPEs to feed their social networks automatically, relay content already on the web, streamline publications between different networks, and more.  Sociallymap was launched in February 2013.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,Social Media,Marketing-Content Marketing-Content Distribution-Social Media
129610,Gainfully,gainful.ly,"Consulting,Insurance,Financial Services,Web Development,Finance,Social Media",Financial services at the speed of social.,"Gainfully is the content network for financial services, connecting financial professionals with resources from the companies they work with and trust.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
189767,Assetlink,assetlink.com,"Marketing Automation,Brand Marketing,Advertising","Assetlink was founded in 1997 to help Global 2000 companies increase marketing efficiencies, improve productivity, and effectively manage","Assetlink was founded in 1997 to help Global 2000 companies increase marketing efficiencies, improve productivity, and effectively manage brands. Since then, Assetlink has worked closely with customers representing some of the largest consumer packaged goods, financial services, pharmaceutical and industrial products companies, to develop solutions addressing every function in the marketing organization. In addition, Assetlink has worked with partners in the field of advertising, brand management, packaging design and electronic prepress.",Enterprise Apps,Marketing,Content Marketing,0,0,Marketing-Content Marketing-0-0
45789,Sponsta,sponsta.com,"Social Media,Advertising Platforms,Advertising","Connecting popular instagrammers with brands, for marketing purposes.","Connecting popular instagrammers with brands, for marketing purposes. - See more at: https://www.crunchbase.com/organization/sponsta#sthash.vYf1j65j.dpuf",Enterprise Apps,Marketing,Content Marketing,Content Creation,0,Marketing-Content Marketing-Content Creation-0
41870,Nylas,nylas.com,"Email,Apps,Developer APIs,Social Media","Nylas is building a new platform for email-powered apps, starting with simple REST APIs and infrastructure for developers.","Nylas is building a new platform for email-powered apps, starting with simple REST APIs and infrastructure for developers. The company was founded in 2013 by Michael Grinich and Christine Spang, two MIT alums who set out to fix IMAP, MIME, and the fragmented world of email systems.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
65417,121 Mobile,my121mobile.com,Social Media Marketing,An end-to-end cloud based digital marketing platform that uniquely closes the marketing loop at the POS across any media.,"121 Mobile is a white-label, end-to-end, cloud based digital marketing platform for marketers and publishers. It uniquely closes the marketing loop by mobilizing each ad campaign's 'call to action' across any media, including print, TV, radio, web, mobile or POS.   Rather than measuring circulation, viewers, listeners, impressions, clicks or time on site, the platform allows advertisers to measure true engagement in the form of offers that are claimed via mobile devices and physically redeemed at the point of sale.    The platform constantly monitors all mobile, online and offline customers' engagements, and thus enables unique pairing of online KPIs with physical customer response at the point-of-sale. Moreover, throughout the whole customers' engagement cycle, it is automatically capturing and building a database of the engaged customers' mobile numbers, all of which can be integrated into an advertisers existing POS or CRM.    The platform doesn't stop there--it also has APIs into Facebook, Twitter, Google, Bing and YouTube, allowing advertisers to compose and serve digital ads optimized into the relevant geo targeted market within minutes of entering the site.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
37303,Goodzer,goodzer.com,"Location Based Services,Local Advertising,Ad Targeting,Marketing Automation,Local,Search Engine,Mobile,Small and Medium Businesses",Goodzer's technology automates local marketing and creates advertising solutions with the highest conversion rates,"Goodzer uses its unprecedented automated technology to create data-driven advertising solutions  for local businesses that produce the highest conversion rates.   The company's AI-based technology amasses detailed data on millions of local businesses that is distributed to leading local search sites and mobile apps and is also used to create highly targeted ad campaigns that produce live, local customers for local businesses.  Goodzer's technology and automation is what gives the company its competitive edge and allows it to change the way local marketing works today.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
194083,Beehive,beehivebi.com,"Business Intelligence,Analytics,Gaming","Beehive B.I. develops unique analytics reporting and BI tools, tailor made for the iGaming industry.","Beehive B.I. develops unique analytics reporting and BI tools, tailor made for the iGaming industry. The company, which was founded by industry experts, offers its clients a cutting edge plug&play solution at low risk an minimum implementation time. Beehive's cutting edge products allows the clients to easily analyze data in real time, monitor the operation's critical metrics and easily perform advanced data analysis processes.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
325319,Standout,standout.com.br,"E-Commerce,Marketing",Standout is a e-commerce marketing company.,"Standout is the new tool media online for e-commerces, manufacturers, agencies and professional marketing.",Enterprise Apps,Marketing,Conversion Rate Optimization,Web Analytics,0,Marketing-Conversion Rate Optimization-Web Analytics-0
340999,Realdeal,tryrealdeal.com,"Real Estate,Sales Automation,Social Media","Realdeal is a tool allowing companies to conduct and measure sales campaigns across their social media profiles, newsletter, blogs and more.","Realdeal is a tool allowing companies to conduct and measure sales campaigns across their social media profiles, newsletter, blogs and more.  We believe that the greatest marketing power is community gathered around the brand, and its activity doesn‰Ûªt end on visiting web and facebook pages but on real interaction between particular customers, both online and offline. We‰Ûªve worked really hard to make simple tool allowing engagement of customers and enhancing communication between them while they experience the service. We managed to combine B2C and C2C, in order to rapidly increase sales and trace the traffic even after the campaign has ended so that the future one could be even more effective.   Realdeal is a multiplatform tool available everywhere where you can put simple html code, starting from Facebook through Newsletters and blogs. The design doesn‰Ûªt interrupt the brand artwork at all in fact it connects with it creating a perfect match and uses unique landing page. We also introduced video to our service, so it‰Ûªs possible to use promo videos and commercials in the campaigns.   We work in SaaS model, allowing our clients to have full control over their campaigns, both visual and content-wise. Furthermore after just one use it becomes an effective database, collecting value information about customers and possibly informing them about future campaigns.   We‰Ûªre always ready to participate in various events and conferences (BabelCamp, App Promotion Summit, Social Media Thursdays in Warsaw, Katowice and BiaÅâystok, Infoshare, Jungle Web). We won Business Mixer contest organised in 2014 by BusinessLink.  Our investor is Centrum Innowacji - Akcelerator Technologii Fundacja Uniwersytetu ÅÅÌ_dzkiego.",Enterprise Apps,Marketing,Social Media Monitoring,0,0,Marketing-Social Media Monitoring-0-0
69379,REES46,rees46.com,"Personalization,Marketing Automation,E-Commerce,Brand Marketing,Big Data,Machine Learning,Email Marketing",eCommerce Marketing Automation platform with Progressive Personalization technology inside,"REES46 eCommerce marketing automation and progressive personalization suite that boosts your sales by 24% your online store.   - Attract new customers with extremely precise targeted ads. - Convert through personalized product recommendations and eCommerce search. - Win back with trigger web push notifications, emails and display remarketing. - Retain through marketing emails and promo push notifications. - Build loyalty with customer reviews and ratings.  Once set up, you manage several tools from a single dashboard.  Progressive Personalization technology gives 20% more revenue then Big Data personalization technologies.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
98861,PowerChord,powerchordsystem.com,"Brand Marketing,Digital Media",PowerChord is a multi-location sales engagement platform that provides enterprises with power-branded loyalty and consumer insights.,"A PowerChord is defined as a combination of musical notes, playing together to make one, powerful sound‰Û_ and that is exactly how our smart, creative group of pranksters, brewers, and intense fantasy football competitors operate.  Sure, our PowerChord team may work out of bean bag chairs and occasionally close the office early for a company beer, but at the end of the day, our clients come first.",Enterprise Apps,Marketing,Content Marketing,Content Distribution,OmniChannel,Marketing-Content Marketing-Content Distribution-OmniChannel
87393,FeedMagnet,feedmagnet.com,"Events,Social Media,Photo Sharing,Location Based Services,Apps",FeedMagnet is a web application that enables brands to curate and display media content from social networks.,"FeedMagnet is a web application that helps brands curate and display social media from 14 social networks including Facebook, Twitter, Instagram, YouTube, Flickr, Foursquare, and more.  It's technology implements custom website and event executions for Fortune 500 clients including: GE, Dow, Sephora, Sundance Channel, Warner Music Group, AOL, AMD, Logitech, Autonation, World Poker Tour, DraftFCB, RAPP, Radioshack and more  FeedMagnet supports content from all major social networks including Facebook, Twitter, YouTube, Instagram, Twitpic, yFrog, Flickr, Lockerz, Foursquare, Gowalla, Vimeo, Tumblr, Google Buzz, Delicious, and RSS.  It also has an admin interface where clients can filter and moderate content. Filters automate the process of sifting through content to determine what makes it into the feeds. Customers can filter by keyword, users, content type, and sentiment.  Customers can also manually moderate content. FeedMagnet can be set to where all content has to be approved before being displayed or automatically displayed with the ability to remove any post at any time.  Customers have the choice to design displays in-house or FeedMagnet can do it for them. Designs can be made for all devices and screen sizes.  Every Feedmagnet customer gets their own Rackspace Cloud system. As needs change, FeedMagnet can grow your cloud server in a matter of minutesÌ¢‰âÂ‰Ûùeven just bumping it up temporarily to handle a planned spike in traffic.  Just add a few lines of JavaScript and you're up and running, pulling content from FeedMagnet right into your page. Data is transferred in a standard json format. Smart layouts and Google Maps integrations are built-in.",Enterprise Apps,Marketing,Content Marketing,Content Curation,0,Marketing-Content Marketing-Content Curation-0
34279,Cronycle,cronycle.com,"Business Intelligence,Collaboration,Collectibles,Apps,FinTech",Cronycle - Collaborative Research Platform for Professionals,"Cronycle is a collaborative research platform  We are transforming the way professionals research business topics and create actionable intelligence. We have two main parts to help with research Content Discovery:  Easily create topic specific feeds with your trusted sources and personalised search queries Collaborate with a team and annotate articles:  Build digital collaborative spaces where you select and annotate the most relevant articles and documents, for a specific purpose, in a select team We‰Ûªre relied upon by financial analysts, consultants, content marketers, freelancers and entrepreneurs.",Enterprise Apps,Marketing,Content Marketing,Content Curation,0,Marketing-Content Marketing-Content Curation-0
