company_name,domain_name,id,horizontal,technology_segment1,technology_segment2,technology_segment3,ml_segment_data1_ap4_t1,ml_segment_data2_ap4_t1,business_model,specialties,short_description,about_us
World Business Lenders,wbl.com,76069,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"finance, financial services, small and medium businesses","World Business Lenders provides capital to small businesses through credit cards, checks and cash payments.","World Business Lenders LLC provides capital to small businesses. The company offers loan products for businesses that accept limited forms of payment, as well as loans designed for businesses that accept credit card, check, and cash payments. Its clients include retail businesses, which regularly deposit the cash revenue; businesses that are in operations over two years; and franchisees, coffees, shops, dry cleaners, doctors, and dentists. World Business Lenders LLC was incorporated in 2011 and is based in New York, New York."
Kiva,kiva.org,92414,FinTech,Alternative lending,Consumer lending,Micro Finance ,Others,Micro Finance ,Alternative lending-Consumer lending-Micro Finance ,"finance, financial services, fintech, micro lending, non profit, social entrepreneurship",The Kiva Zip community provides access to 0% interest loans and a community passionate about helping entrepreneurs in the United States.,"Based in San Francisco, Kiva is an international non-profit organization that enables families to make small loans to entrepreneurs in developing countries. It has crowdfunded over 705 million U.S. dollars in microloans to over one million entrepreneurs in 86 countries. Founded in 2005, Kiva covers its costs primarily through optional donations as well as through support from grants and sponsors."
Raiseworks,raiseworks.com,43774,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"credit, crowdfunding, crowdsourcing, finance, financial services, fintech",Raiseworks operates an online direct lending platform that connects small private businesses with institutional lenders.,"Raiseworks operates an online direct lending platform that connects small businesses with institutional lenders looking to lend directly to private businesses. We improve small business access to capital by leveraging technology to lower the cost of customer acquisition and loan application processing resulting in a dramatic acceleration of the application-to-funding cycle. For institutional lenders, Raiseworks opens the door to opportunities to invest directly in credit-worthy private businesses while earning stable, attractive returns."
Zidisha,zidisha.org,108340,FinTech,Alternative lending,Consumer lending,Micro Finance ,Others,Micro Finance ,Alternative lending-Consumer lending-Micro Finance ,"micro lending, non profit, social entrepreneurship",Zidisha is a microlending community that directly connects lenders and borrowers through its platform.,"Zidisha is the only peer-to-peer lending service to connect individual lenders directly with microfinance borrowers in low-income countries.
Zidisha is based on the conviction that small-scale entrepreneurs in developing countries are capable of interacting responsibly with peer-to-peer lenders via a self-regulating web platform, without needing local intermediaries to communicate and manage loan transactions on their behalf.  Though there are other microlending websites that allow individuals to contribute funds toward microloans of their choice, all of them rely on local microfinance organizations to communicate with lenders, create loan applications and collect repayments. In these intermediated microlending platforms, the communication is all one way, so that the borrower is often unaware of the lenders who funded his or her loan. The average intermediary organization adds over 30% - sometimes as much as 100% - in fees and interest to loans raised through these websites to cover its own administrative expenses. Such high interest rates reduce borrowers' profits, sometimes to the point of making them poorer than they were before they received the loan.
Unlike the postings on other microlending platforms, the loan applications and comments posted on Zidisha's loan pages are written by the borrowers themselves. This opens the way for dialogue between lenders and borrowers, so that lenders can receive answers to their inquiries about the loan and business directly from the entrepreneur they are funding. Eliminating unnecessary intermediaries also decreases cost of the loans. The average Zidisha borrower pays only about 8% (flat rate) in annual interest and fees, including interest paid out to lenders. This is far below the rates traditionally charged for microfinance loans in developing countries.  Reducing interest costs allows the entrepreneurs to keep more of their profits, so that the loans have greater impact in reducing poverty."
Renrendai,renrendai.com,69490,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Alternative Lending -Commercial Lending-Term loans,"credit, finance, financial services","Renrendai is a Beijing-based company providing P2P financial services such as loans, debts, investment, and others.","Renrendai is a Beijing-based company providing a P2P platform for financial services such as loans, debts, investment, and others. It targets white-collar employees and small business owners as its customers, charging borrowers a management fee of 0.3% of the borrowed money, and a service fee of up to 5% for high-risk borrowers. The returns on Renrendai.com loans are between 10% and 18%, which is higher than the 3.25% offered by one year turn deposits in banks. The company also controls default risks by measuring borrowers' income, occupation, assets, and family connections.
Renrendai was founded in May 2010 and currently has a service network covering over 2,000 regions. Its transaction capital for the third quarter of 2013 was reported to be US$81.2 million."
eMoneyUnion,emoneyunion.com,56691,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,finance,"They provide individuals with spare savings, the opportunity to become personal lenders to screened and profiled borrowers.","They provide individuals with spare savings, the opportunity to become personal lenders to screened and profiled borrowers.
Unlike other Peer to Peer platforms, our platform is financially inclusive, accepting loan applications from LOW credit score borrowers. If the borrower has a very low credit score, they will need to obtain the backing of a HIGH credit score Personal Guarantor, to boost their chance of obtaining a loan."
Cove Financial Group,covefinancial.com,54817,FinTech,Alternative lending,Consumer lending,Mortgages,Others,Mortgages,Alternative lending-Consumer lending-Mortgages,"finance, financial services, home renovation",Cove Financial Group offers a mortgage alternative program for would-be home buyers who do not qualify for a mortage.,"Cove Financial Group Inc., has created the Mortgage Alternative Program for would-be home buyers who have a down payment, but do not qualify today for a mortgage."
QuarterSpot,quarterspot.com,43646,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"finance, fintech",QuarterSpot is an online lending platform that offers small businesses working capital.,"QuarterSpot is an online lending platform that offers credit-starved small businesses working capital on attractive rates and terms. We accelerate access to capital using advanced technologies that enable instant underwriting and approval, same-day closings and repayment to investors in as little as 24 hours. Contact info@quarterspot.com for more information."
Edai,edai.com,85899,FinTech,Alternative Lending,0,0,0,Others,Alternative Lending-0-0,financial services,Edai company was founded in 2006 and now exists both online and has brick-and-mortar offices in China.,Edai is a  financial services company in China that focuses on P2P lending as well as traditional loans and free loan consultation.
Kashable,kashable.com,62191,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,financial services,"A Kashable loan is better than borrowing from your retirement plan, credit card, and many other lenders.","Taking a Kashable loan is easy and painless: no trips to your local bank branch or storefront, no filling out forms to mail in, and no staying on hold with representatives on the phone. You can complete the entire process online within a matter of a few minutes, and the funds are deposited electronically into your bank account."
Yooli,yooli.com,76925,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Alternative Lending -Commercial Lending-Term loans,"banking, credit, financial services","Yooli is a network securities company, aiming to provide protection for investors, safeguards, and other financial professionals.","Yooli now cooperates with 23 offline micro-credit companies, offering investors access to loans that are originated from many of the smaller P2P platforms. In order to build trust and confidence, Yooli partners with a third party to assess the credit quality of each individual loan."
EarlyShares,earlyshares.com,35203,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"crowdfunding, finance, fintech",EarlyShares is a real estate crowdfunding platform that connects return-driven commercial real estate investments.,"EarlyShares is a crowdfunding platform that connects individual investors to a curated selection of vetted, return-driven real estate investment offerings. Through the compliant platform, investors gain direct access to opportunities in growth companies, real estate projects, and investment funds. Investors can either invest as passive owners in equity opportunities brought forward by sponsors or in loans originated by institutional lenders. EarlyShares was launched in 2011 and is based in Miami, Florida."
Privlo,privlo.com,68518,FinTech,Alternative lending,Consumer lending,Mortgages,Others,Mortgages,Alternative lending-Consumer lending-Mortgages,"banking, finance, financial services",Privlo is a online lender for well-qualified borrowers who have fallen through the cracks inherent in the traditional agency.,Privlo is a online lender for well-qualified borrowers who have fallen through the cracks inherent in the traditional agency and qualified mortgage (QM) process. At the heart of its commonsense approach is a proprietary decision-making process that values each individual's unique financial picture. Privlo offers an incredible customer experience and speed and certainty of close.
Achieve Lending,achievelending.com,30974,FinTech,Alternative lending,Lead generation platform,0,Lead generation platform,Others,Alternative lending-Lead generation platform-0,fintech,"Being the first-ever student loan comparison tool, AchieveLending.","Being the first-ever student loan comparison tool, AchieveLending.com offers users a free online portal to search, find, and compare student loans. Designed to help both traditional and non-traditional students find the best student loans, Achieve Lending is the first tool of its kind to aggregate loan offers for those seeking private financing for educational purposes. It takes just 30 seconds to find and choose the best loan available.
 Learn more at www.AchieveLending.com
 Become an Achieve Lending Affiliate on Commission Junction: http://bit.ly/1ylqddi"
Lendsquare,lendsquare.com,63079,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"collaborative consumption, crowdfunding, finance",LendSquare is an online platform that allows small businesses to finance growth by borrowing money from their customers and communities.,"LendSquare helps people invest in small businesses in their neighborhood by lending them money. This community-focused approach has advantages over traditional sources ofcredit: it's cheaper for businesses, it strengthens community bonds, and it allows individuals to invest in places they understand and love."
Yindou,yindou.com,76889,FinTech,Alternative Lending ,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative Lending -Commercial Lending-Working Capital ,"financial services, impact investing",Yindou company is Supply Chain Finance for Investment area.,#N/A
LendLayer,lendlayer.com,39693,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"big data, financial services, fintech",We finance the future of education,We finance students to attend the top accelerated learning programs.
"Pier, Inc.",pierup.com,42801,FinTech,Alternative lending,Consumer lending,Purchase Financing ,Purchase Financing ,Others,Alternative lending-Consumer lending-Purchase Financing ,"apps, big data, mobile","Pier is instant, painless consumer financing at the checkout for US and Chinese consumers.","Pier is a financial technology company that focuses on the development of technology solutions which enable its customers to do transactions through their mobile phones. It offers its services in the United States and China.
Pier offers an application that enables its customers to access their services.
Pier is headquartered in San Francisco and has an office in Shanghai, China. It was founded by Richard Jia in July 2014."
Strategic Funding Source,sfscapital.com,101728,FinTech,Alternative lending,Commercial Lending,Term loans,Term loans,Others,Alternative lending-Commercial Lending-Term loans,"finance, financial services, fintech",Strategic Funding Source finances the future of small business with technology and insight,"Strategic Funding Source finances the future of small business with technology and insight. We provide financing to a wide range of businesses including retailers, restaurants, hotels, medical professionals, manufacturers, wholesalers and automotive dealers and suppliers.
Founded in 2006, Strategic Funding Source is a market leader in offering financing options to small and midsize businesses. Recognized as one the most reliable and respected names in the industry, Strategic Funding Source is known for flexible and tailored financing options, its comprehensive technology platform and exceptional customer service. Headquartered in New York City with a network of affiliated offices and sales representatives, the company provides capital throughout the U.S. and Australia."
Open Book Ben,openbookben.com,66850,FinTech,Alternative lending,Credit rating platforms,0,Others,Credit rating platforms,Alternative lending-Credit rating platforms-0,"finance, publishing, venture capital",Open Book Ben is an alternative to a traditional business credit bureau.,"Open Book Ben is an alternative to a traditional business credit bureau. They are building an on-line community where small and medium-sized businesses (""""SMBs"""") collaborate and share creditworthiness and other business intelligence. The system is in Beta. Several financial institutions and other companies are using it. Their feedback is below. 
 
 BEN is democratizing access to creditworthiness and other types of important business data. Why? SMBs struggle with nearly every aspect of business credit. The existing credit bureaus often fail to score SMBs accurately. Some small firms do not even show up in their databases. And since there is no affordable solution for business credit data, SMBs suffer huge write offs - $64 billion last year. 
 
 BEN has solutions for each of these problems as discussed below. Their platform is an attractive alternative to the credit bureaus. BEN also offers powerful marketing and lead gen tools. They also offer a greatly-needed SMB supply chain tool. Their """"Vendor Worth"""" scoring helps SMBs assess the quality of B2B vendors."
The Credit Junction,thecreditjunction.com,46872,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"financial services, fintech","First data-driven asset based lender offering financing solutions to small and mid-sized manufacturers, suppliers and distributors.","The Credit Junction is the first data-driven asset based lending platform and is transforming the way small and mid-size businesses access working capital, growth and supply chain financing solutions. The company combines technology and data intelligence with traditional asset-based credit metrics and offers up to $5 million in capital availability. The Credit Junction targets growth-oriented suppliers, distributors and manufacturers typically with revenues between $2M and $25M.
The financing that the company provides not only helps small businesses access the capital they need, but also stimulates job creation and bolsters community development in local towns, cities and regions across the US and Canada."
LOANZ,loanz.com,63499,FinTech,Alternative lending,Consumer lending,Personal loans,Personal loans,Others,Alternative lending-Consumer lending-Personal loans,"finance, financial services",Loanz is a Private Credit Platform for marketplace lending upon,Loanz is a marketplace lending platform delivering â€œLoans as a Serviceâ€ for borrowers and investors. It is rapidly emerging from the disruption of lending in the financial services industry by Internet platforms that connect borrowers and investors directly.
eLoancn,eloancn.com,86155,FinTech,Alternative Lending ,Commercial Lending,Term loans,Term loans,Others,Alternative Lending -Commercial Lending-Term loans,"agriculture, lending, online portals",eLoancn is a China-based online lending platform that offers solutions in borrowing and lending money among its users.,"eLoancn is a Wenzhou-based online lending platform where members can borrow and lend money among themselves at better interest rates than a bank typically offers. eLoancn differentiates itself from peers with a special focus on agriculture, farming and rural areas. Its main business comes from farmersâ€™ personal loans, which are mainly used for agricultural reproduction and breeding."
CoderLoan,coderloan.co,33832,FinTech,Alternative lending,Consumer lending,Education Loans ,Others,Education Loans ,Alternative lending-Consumer lending-Education Loans ,"college recruiting, education, financial services, web development","Connecting businesses with talent, talent with funding for education. Changing the way we fund education, train, and hire.","Move past other job sites and agencies through us. CoderLoan connects talented, aspiring coders with companies that are looking for junior developers. If you're a student or a professional looking for a career change into programming, they will help find the right training program for you. For businesses and hiring managers, their platform makes it easy to identify candidates that have the skills and education best matched for junior positions."
Kickpay,kickpay.com,62308,FinTech,Alternative lending,Commercial Lending,Working Capital ,Working Capital ,Others,Alternative lending-Commercial Lending-Working Capital ,"internet, software",Data driven inventory financing for hardware companies.,"Kickpay is transforming how hardware companies finance their inventory.
By leveraging a client's data, Kickpay enables them to access financing that was previously unavailable, allowing them to grow faster."
