,domain_name,Test_document,data_segment1,data_segment2
18,communitysourcedcapital.com,crowdfund fintech crowdfund fintech communiti sourc capit build innov financi system communiti start communiti sourc capit year research call sustain financ focus singl question financi system design strengthen communiti compani grown idea robust communiti lend system ve expand outsid pacif northwest attract investor want help busi grow recruit talent team member divers background they???r energet passion group do-it-al person background small busi manag socially-respons invest web technolog grassroot market fundrais week basi you???ll find us engag direct small busi owner hang innov bank partner scout new communiti might one day lucki enough work,Working Capital ,Others
19,pearfunds.com,crowdfund lend marketplac crowdfund lend marketplac experienc team proven platform address need crowdfund marketplac south america experienc team proven platform address need crowdfund marketplac south america megatrend opportun team bet,Term loans,Others
20,smartbizloans.com,e-commerc financi servic lend e-commerc financi servic lend smartbiz loan www.smartbizloans.com uniqu combin onlin sba loan marketplac bank enabl technolog platform smartbiz loan 1 onlin sba loan marketplac small busi loan intellig technolog platform make appli sba loan fast easi increas likelihood approv small busi match borrow sba prefer lend bank like fund particular busi 90 95 loan smartbiz refer bank partner get fund bank partner use smartbiz platform origin underwrit sba loan compliant manner also process loan 70 90 effici base financi district san francisco smartbiz loan privat held compani found 2009 team experienc financi servic entrepreneur back lead ventur capit firm includ investor growth capit venrock first round capit baselin ventur softtech vc,Term loans,Others
21,ipawn.com,e-commerc financ small medium busi e-commerc financ small medium busi ipawn e-commerc compani enabl consum obtain short-term asset-bas loan ipawn transform nation credit market offer short-term afford loan competit rate less risk bank payday lender brick mortar pawn shop onlin servic headquart tyler texa ipawn hold pawn licens issu offic consum credit commission inform pleas visit www.ipawn.com,Term loans,Others
22,insikt.com,consum financ ventur capit consum financ ventur capit insikt ventur white label loan origin invest platform enabl investor invest consum loan portfolio insikt ventur invest compani special growth capit invest compani enabl investor invest consum loan portfolio insikt ventur headquart san francisco california,Others,Others
23,instorefinance.com,financ saa softwar financ saa softwar instorefinance.com? offer softwar program allow retail store increas sale financ custom via onlin payment portal instor financ financ platform allow merchant financ custom purchas merchant use program longer lose big ticket sale custom n't money product ve care pick often happen custom n't qualifi tradit financ manag paperwork instal store cash check send month merchant work instor financ generat extra sale loyal custom sinc get tell `` re approv '',Purchase Financing ,Others
24,mylendpro.com,consum financ saa consum financ saa lendpro cloud-bas saa platform enabl consum to? appli retail financ program lendpro llc leverag founder 's year experi big-ticket retail consum financ offer excit new program big-ticket merchant lender consum open-to-buy consum financ applic process cloud-bas software-as-a-servic saa platform enabl consum appli retail financ program offer one lendpro 's mani lender partner anywher use one lendpro 's big-ticket merchant partner,Purchase Financing ,Others
25,vittana.org,educ financ lend educ financ lend p2p educ microfin lender vittana make possibl young peopl around world get student loan direct lender like vittana envis world student anywher get student loan attend communiti colleg vocat school colleg 1 thing famili around world want one common univers desir peopl throughout world give children better chanc life make loan vittana re realli two thing yes re enabl student get degre get job immedi giant step toward better life re also someth even bigger re prove world educ matter student loan work one student one loan one job time vittana work background facilit loan make direct student also work forefront global movement bring student loan young peopl throughout world,Others,Education Loans 
26,wbl.com,financ financi servic small medium busi financ financi servic small medium busi world busi lender provid capit small busi credit card check cash payment world busi lender llc provid capit small busi compani offer loan product busi accept limit form payment well loan design busi accept credit card check cash payment client includ retail busi regular deposit cash revenu busi oper two year franchise coffe shop dri cleaner doctor dentist world busi lender llc incorpor 2011 base new york new york,Term loans,Others
27,kiva.org,financ financi servic fintech micro lend non profit social entrepreneurship financ financi servic fintech micro lend non profit social entrepreneurship kiva zip communiti provid access 0 interest loan communiti passion help entrepreneur unit state base san francisco kiva intern non-profit organ enabl famili make small loan entrepreneur develop countri crowdfund 705 million u.s. dollar microloan one million entrepreneur 86 countri found 2005 kiva cover cost primarili option donat well support grant sponsor,Others,Micro Finance 
28,raiseworks.com,credit crowdfund crowdsourc financ financi servic fintech credit crowdfund crowdsourc financ financi servic fintech raisework oper onlin direct lend platform connect small privat busi institut lender raisework oper onlin direct lend platform connect small busi institut lender look lend direct privat busi improv small busi access capit leverag technolog lower cost custom acquisit loan applic process result dramat acceler application-to-fund cycl institut lender raisework open door opportun invest direct credit-worthi privat busi earn stabl attract return,Working Capital ,Others
29,zidisha.org,micro lend non profit social entrepreneurship micro lend non profit social entrepreneurship zidisha microlend communiti direct connect lender borrow platform zidisha peer-to-p lend servic connect individu lender direct microfin borrow low-incom countri zidisha base convict small-scal entrepreneur develop countri capabl interact respons peer-to-p lender via self-regul web platform without need local intermediari communic manag loan transact behalf though microlend websit allow individu contribut fund toward microloan choic reli local microfin organ communic lender creat loan applic collect repay intermedi microlend platform communic one way borrow often unawar lender fund loan averag intermediari organ add 30 sometim much 100 fee interest loan rais websit cover administr expens high interest rate reduc borrow profit sometim point make poorer receiv loan unlik post microlend platform loan applic comment post zidisha 's loan page written borrow open way dialogu lender borrow lender receiv answer inquiri loan busi direct entrepreneur fund elimin unnecessari intermediari also decreas cost loan averag zidisha borrow pay 8 flat rate annual interest fee includ interest paid lender far rate tradit charg microfin loan develop countri reduc interest cost allow entrepreneur keep profit loan greater impact reduc poverti,Others,Others
30,renrendai.com,"credit financ financi servic credit financ financi servic renrendai beijing-bas compani provid p2p financi servic loan debt invest other renrendai beijing-bas compani provid p2p platform financi servic loan debt invest other target white-collar employe small busi owner custom charg borrow manag fee 0.3 borrow money servic fee 5 high-risk borrow return renrendai.com loan 10 18 higher 3.25 offer one year turn deposit bank compani also control default risk measur borrow incom occup asset famili connect renrendai found may 2010 current servic network cover 2,000 region transact capit third quarter 2013 report us 81.2 million",Working Capital ,Others
31,emoneyunion.com,financ financ provid individu spare save opportun becom person lender screen profil borrow provid individu spare save opportun becom person lender screen profil borrow unlik peer peer platform platform financi inclus accept loan applic low credit score borrow borrow low credit score need obtain back high credit score person guarantor boost chanc obtain loan,Personal loans,Others
32,covefinancial.com,financ financi servic home renov financ financi servic home renov cove financi group offer mortgag altern program would-b home buyer qualifi mortag cove financi group inc. creat mortgag altern program would-b home buyer payment qualifi today mortgag,Others,Mortgages
33,quarterspot.com,financ fintech financ fintech quarterspot onlin lend platform offer small busi work capit quarterspot onlin lend platform offer credit-starv small busi work capit attract rate term acceler access capit use advanc technolog enabl instant underwrit approv same-day close repay investor littl 24 hour contact info quarterspot.com inform,Working Capital ,Others
34,kashable.com,financi servic financi servic kashabl loan better borrow retir plan credit card mani lender take kashabl loan easi painless trip local bank branch storefront fill form mail stay hold repres phone complet entir process onlin within matter minut fund deposit electron bank account,Personal loans,Others
35,yooli.com,bank credit financi servic bank credit financi servic yooli network secur compani aim provid protect investor safeguard financi profession yooli cooper 23 offlin micro-credit compani offer investor access loan origin mani smaller p2p platform order build trust confid yooli partner third parti assess credit qualiti individu loan,Others,Credit rating platforms
36,earlyshares.com,crowdfund financ fintech crowdfund financ fintech earlyshar real estat crowdfund platform connect return-driven commerci real estat invest earlyshar crowdfund platform connect individu investor curat select vet return-driven real estat invest offer compliant platform investor gain direct access opportun growth compani real estat project invest fund investor either invest passiv owner equiti opportun brought forward sponsor loan origin institut lender earlyshar launch 2011 base miami florida,Term loans,Others
37,privlo.com,bank financ financi servic bank financ financi servic privlo onlin lender well-qualifi borrow fallen crack inher tradit agenc privlo onlin lender well-qualifi borrow fallen crack inher tradit agenc qualifi mortgag qm process heart commonsens approach proprietari decision-mak process valu individu 's uniqu financi pictur privlo offer incred custom experi speed certainti close,Others,Others
38,achievelending.com,fintech fintech first-ev student loan comparison tool achievelend first-ev student loan comparison tool achievelending.com offer user free onlin portal search find compar student loan design help tradit non-tradit student find best student loan achiev lend first tool kind aggreg loan offer seek privat financ educ purpos take 30 second find choos best loan avail learn www.achievelending.com becom achiev lend affili commiss junction http //bit.ly/1ylqddi,Others,Education Loans 
39,lendsquare.com,collabor consumpt crowdfund financ collabor consumpt crowdfund financ lendsquar onlin platform allow small busi financ growth borrow money custom communiti lendsquar help peopl invest small busi neighborhood lend money community-focus approach advantag tradit sourc ofcredit 's cheaper busi strengthen communiti bond allow individu invest place understand love,Term loans,Others
40,yindou.com,financi servic impact invest financi servic impact invest yindou compani suppli chain financ invest area,Others,Others
41,lendlayer.com,big data financi servic fintech big data financi servic fintech financ futur educ financ student attend top acceler learn program,Others,Credit rating platforms
42,pierup.com,app big data mobil app big data mobil pier instant painless consum financ checkout us chines consum pier financi technolog compani focus develop technolog solut enabl custom transact mobil phone offer servic unit state china pier offer applic enabl custom access servic pier headquart san francisco offic shanghai china found richard jia juli 2014,Purchase Financing ,Others
43,sfscapital.com,financ financi servic fintech financ financi servic fintech strateg fund sourc financ futur small busi technolog insight strateg fund sourc financ futur small busi technolog insight provid financ wide rang busi includ retail restaur hotel medic profession manufactur wholesal automot dealer supplier found 2006 strateg fund sourc market leader offer financ option small midsiz busi recogn one reliabl respect name industri strateg fund sourc known flexibl tailor financ option comprehens technolog platform except custom servic headquart new york citi network affili offic sale repres compani provid capit throughout u.s. australia,Working Capital ,Others
44,openbookben.com,financ publish ventur capit financ publish ventur capit open book ben altern tradit busi credit bureau open book ben altern tradit busi credit bureau build on-lin communiti small medium-s busi `` '' smbs '' '' collabor share creditworthi busi intellig system beta sever financi institut compani use feedback ben democrat access creditworthi type import busi data smbs struggl near everi aspect busi credit exist credit bureaus often fail score smbs accur small firm even show databas sinc afford solut busi credit data smbs suffer huge write off 64 billion last year ben solut problem discuss platform attract altern credit bureaus ben also offer power market lead gen tool also offer greatly-need smb suppli chain tool `` '' vendor worth '' '' score help smbs assess qualiti b2b vendor,Others,Others
45,thecreditjunction.com,financi servic fintech financi servic fintech first data-driven asset base lender offer financ solut small mid-siz manufactur supplier distributor credit junction first data-driven asset base lend platform transform way small mid-siz busi access work capit growth suppli chain financ solut compani combin technolog data intellig tradit asset-bas credit metric offer 5 million capit avail credit junction target growth-ori supplier distributor manufactur typic revenu 2m 25m financ compani provid help small busi access capit need also stimul job creation bolster communiti develop local town citi region across us canada,Working Capital ,Others
46,loanz.com,financ financi servic financ financi servic loanz privat credit platform marketplac lend upon loanz marketplac lend platform deliv ???loan service??? borrow investor rapid emerg disrupt lend financi servic industri internet platform connect borrow investor direct,Personal loans,Others
47,eloancn.com,agricultur lend onlin portal agricultur lend onlin portal eloancn china-bas onlin lend platform offer solut borrow lend money among user eloancn wenzhou-bas onlin lend platform member borrow lend money among better interest rate bank typic offer eloancn differenti peer special focus agricultur farm rural area main busi come farmers??? person loan main use agricultur reproduct breed,Personal loans,Others
48,coderloan.co,colleg recruit educ financi servic web develop colleg recruit educ financi servic web develop connect busi talent talent fund educ chang way fund educ train hire move past job site agenc us coderloan connect talent aspir coder compani look junior develop re student profession look career chang program help find right train program busi hire manag platform make easi identifi candid skill educ best match junior posit,Others,Education Loans 
49,kickpay.com,internet softwar internet softwar data driven inventori financ hardwar compani kickpay transform hardwar compani financ inventori leverag client 's data kickpay enabl access financ previous unavail allow grow faster,Personal loans,Others
50,monexo.co,financi servic fintech marketplac peer peer financi servic fintech marketplac peer peer monexo onlin marketplac peer-to-p lend bring togeth lender borrow creat win-win monexo oper onlin peer-to-p lend marketplac small busi employe platform origin borrow lender onlin offlin sale market channel use proprietari screen system review borrow various financi non-financi paramet provid loan offer borrow agre loan offer list marketplac lender view fund allow borrow receiv 48 month futur rental incom subsequ assign rental incom lender launch 2014 monexo oper hong kong china,Personal loans,Others
51,biz2credit.com,"financi servic internet marketplac financi servic internet marketplac biz2credit hub connect small busi owner lender servic provid seek solut base onlin profil biz2credit www.biz2credit.com connect small busi owner lender servic provid thus empow effect compet big compani enhanc servic product grow enterpris biz2credit match small busi credit solut base onlin profil complet less five minut safe effici price-transpar environ biz2credit network consist 50,000 user 300 lender credit rate agenc equifax broker includ bizbuysel major small busi servic provid hp biz2credit top financ resourc entrepreneur magazin 2009 compani process 3,000 loan applic month facilit 400 million fund sinc 2007 registr free howev biz2credit also offer vari level subscript servic includ phone support case manag assist borrow entir lend process start initi applic form end day loan close biz2credit recent introduc free bizanalyzer??????? app android http //bit.ly/hlmwbl use inform credit rate agenc dun bradstreet bizanalyz provid free financi check-up small busi owner make loan applic process effici enabl borrow download review credit score tool benchmark risk assess small busi owner lend criteria 300 financi institut risk profil industri peer factor credit rate ultim impact credit decis lender biz2credit suggest best loan option possibl",Lead generation platform,Others
52,equityroots.com,crowdfund real estat crowdfund real estat real estat crowdfund brand hotel asset equityroot engag real estat crowdfund specif franchis hotel asset marriott hilton ihg starwood hyatt brand passiv investor find reward invest opportun asset class equityroots.com,Term loans,Others
53,wezebra.com,rent instal servic platfo,Personal loans,Others
54,aixuedai.com,e-commerc financi servic fintech internet retail e-commerc financi servic fintech internet retail aixuedai aixuedai onlin payment platform financ purchas consum electron made colleg student mainland china launch decemb 2012 allow student buy item phone tablet laptop camera use month instal plan custom need two photo id one student id appli loan find item want e-commerc site past url applic choos number month want pay money back option desir payment,Purchase Financing ,Others
55,creditshop.com,consum lend financ financi servic consum lend financ financi servic creditshop offer afford onlin loan simpl payment plan mani borrow find unsecur person loan reason interest rate extrem difficult often borrow forc consid lender charg high interest rate hefti fee request valuabl item collater creditshop consum qualifi interest rate rang 18 30 creditshop custom make month payment time never pay ongo transact fee late fee annual fee prepay fee reason creditshop loan might smart choic cost less mani consum,Personal loans,Others
56,bolstr.com,"fintech small medium busi fintech small medium busi bolstr marketplac emerg consum retail manufactur busi rais fund expans real investor bolstr marketplac emerg consum retail manufactur busi rais fund expans real investor use uniqu revenu share invest structur design help busi rais growth fund investor maintain equiti make month payment proport gross sale volum mean busi never get squeez season sale cycl work exchang fund investor entitl receiv fix percentag busi revenu month paid back predetermin multipl invest exampl let 's say busi rais 100,000 agre share 3 revenu investor earn 1.2x invest back scenario investor would receiv 3 busi revenu paid month paid back 120,000 100,000 x 1.2x bolstr news visit bolstr.com/press latest bolstr news video vault bolstr believ often emerg busi overlook overlook capit overlook guidanc overlook success creat vault impart action advic experi lesson learn real expert built scale consum retail manufactur busi vault first public establish busi owner refus accept status quo strive take oper new level group innov game changer vault provid access wealth valuabl insight growth expert matter visit vault bolstr.com/the-vault",Working Capital ,Others
57,oportun.com,consum lend debit card financi servic fintech consum lend debit card financi servic fintech oportun provid afford loan help peopl littl credit histori establish credit build better futur oportun use advanc data analyt technolog provid respons afford person loan peopl littl credit histori ?? ? peopl other consid ???unscoreable.??? sinc found 2005 oportun help million custom disburs 4 billion small dollar loan report account inform credit bureaus custom establish credit histori need compani oper 240+ retail locat deliv custom servic english spanish across channel includ mobil oportun loan current avail arizona california illinoi missouri nevada new mexico texa utah,Personal loans,Others
58,321lend.com,fintech person financ ventur capit fintech person financ ventur capit 321lend inc. form earli 2014 san francisco ca three experienc profession financ technolog manag 321lend inc. form earli 2014 san francisco ca three experienc profession financ technolog manag consult founder graduat uc berkeley work hedg fund start-up technolog consult firm goal 321lend build onlin financi communiti connect creditworthi borrow savvi investor order facilit better lend rate lower loan default rate continu innov web applic busi strategi compani made signific progress build platform lay foundat launch busi compani current near complet fund abl oper peer peer lend platform though peer-to-p lend industri one fastest grow industri us estim 5b cagr 100 still cover 1 total credit card market 669b sinc 321lend found march 2014 compani achiev follow complet front end websit attract potenti borrow lender near complet back end platform autom transact built proprietari interest rate model prepar complianc document fcra fdca tila ecoa other secur relationship bank partner origin loan final discuss credit rate agenc front end websit launch http //www.321lend.com receiv numer inquir lender borrow,Personal loans,Others
59,finrek.com,credit financi servic marketplac credit financi servic marketplac finrek solut onlin loan marketplac match lender borrow base prefer finrek solut privat limit onlin loan marketplac provid user hybrid online-offlin model match lender borrow base prefer finrek solut privat limit launch 2014 base jaipur rajasthan,Term loans,Others
60,visiolending.com,financ lend marketplac real estat real estat invest financ lend marketplac real estat real estat invest nation mortgag lender focus need experienc local expert residenti investor simpli put thrive real estat togeth parent compani econohom we???v bought sold financ 240 million home nationwid unlik lender know like skin game understand uniqu need residenti investor draw year experi distress properti field craft loan product four word mind fast simpl flexibl depend know real estat invest take certain amount initi spirit risk-tak it??? everyon we???r passion help peopl like achiev short-term long-term invest goal it??? reason start vfs four year ago oper 36 state continu grow success success,Term loans,Others
61,gradschoolloans.com,"educ financ financi servic educ financ financi servic platform refin medic school student loan help borrow reduc burden student loan debt fintech marketplac lender provid platform refin medic school student loan help borrow reduc burden student loan debt simpli put acquir lead convert loan sell loan investor communiti bank struggl generat organ loan volum partner lead student loan origin servic compani provid back-end platform support also contract feder chart bank act lender record allow us lend 50 state product save borrow averag 22,000 allow defer loan payment train program also simplifi live consolid mani loan one new loan",Others,Education Loans 
62,evenfinancial.com,financi servic financi servic even financi suppli side platform ssp marketplac lend base new york citi even financi suppli side platform fast grow marketplac lend p2p market initi mission bring better qualiti borrow marketplac lend ecosystem believ strong loan product everyon marketplac lend grow better data help lender see borrow credit score,Personal loans,Others
63,lantouzi.com,bank financi servic secur bank financi servic secur lantouzi.com offer secur invest bank platform internet compani financi institut lantouzi.com onlin invest bank platform help small- medium-s enterpris fulfil busi financ need launch 2014 base beij china,Term loans,Others
64,ibankers.com,bank financi servic wealth manag bank financi servic wealth manag onlin access curat invest opportun growth-stag compani i-bank direct oper onlin equiti debt fund platform www.ibankers.com allow individu investor institut access proprietari invest opportun curat select privat public emerging-growth compani,Others,Others
65,trustingsocial.com,analyt big data ident manag social media analyt big data ident manag social media trust social build next generat credit score base social data make lend faster cheaper friendlier trust social provid consum credit score base social web mobil data solut enabl lender emerg market lend billion ???financi invisible??? consum cover credit bureaus test proven accur faster cheaper exist solut,Others,Credit rating platforms
66,cancapital.com,commerci lend financ financi servic fintech commerci lend financ financi servic fintech capit provid capit small medium-s busi use real-tim platform risk-scor model capit provid capit small medium-s busi use real-tim platform risk-scor model daili remitt platform allow lender access daili cash flow borrow collect daili remitt platform give lender window customers??? daili busi reli payment processor split settlement card transact small busi bank capit inc. former known capit access network inc. chang name capit inc. decemb 2013 compani found 1998 base new york unit state,Working Capital ,Others
67,ppdai.com,financ fintech peer peer financ fintech peer peer ppdai onlin platform peer-to-p small unsecur loan china ppdai onlin platform peer-to-p small unsecur loan china build safe high-perform honest network platform creativ technolog ideal ppdai standard person behavior debit credit bring return lender borrow ppdai found august 2007 founder well known compani,Others,Others
68,assetavenue.com,e-commerc marketplac real estat e-commerc marketplac real estat assetavenu onlin lender real estat invest properti assetavenu los angeles-bas onlin lender use technolog improv way peopl borrow money real estat invest properti innov onlin platform proprietari data model enabl us deliv new benchmark speed transpar flexibl tradit bank ca n't compet fund loan institut capit matter day assetavenu back world 's lead vc firm includ dcm ventur matrix partner neteas capit name one top 10 lend start-up watch 2014 featur numer public includ wall street journal entrepreneur inc forb,Term loans,Others
69,patchofland.com,crowdfund financ fintech internet lend real estat crowdfund financ fintech internet lend real estat pofland crowdfund solut real estat financ bring togeth borrow lender simpl onlin interfac patch land real estat marketplac lender use proprietari technolog data provid transpar scalabl effici lend solut patch land offer borrow access reliabl capit residenti commerci real estat project provid investor easi diversif real estat low minimum best-in-class secur loan structur,Term loans,Others
