,domain_name,Test_document,Expected_result,knn_model_1,knn_model_1_accuracy
139,sixup.com,big data edtech fintech impact invest big data edtech fintech impact invest educ financ marketplac platform high-achiev low-incom student underbank underfund sixup onlin student financ support platform invest high-achiev low-incom student pursuit higher educ career invest student suit wrap-around fund servic design upgrad student school better outcom support graduat job creation compani partner charter school colleg success organ identifi recommend high-potenti student expand option help student upgrad colleg outcom graduat rate social capit job placement also offer annual fund option loan grant student throughout colleg lifecycl reevalu student year base perform compani work close wide rang organ trio upward bound kipp cristo rey genesi work investor compani rethinkeduc acceler ventur wti learncapit sixup u.s.-bas compani found 2015 sunwoo hwang,Education Loans ,Education Loans ,72.6027397260274
124,cashbus.com,financi servic financi servic cashbus microfin compani cashbus microfin compani establish 2014 headquart shanghai offer small short-term micro instal loan underbank china,Others,Others,72.6027397260274
42,pierup.com,app big data mobil app big data mobil pier instant painless consum financ checkout us chines consum pier financi technolog compani focus develop technolog solut enabl custom transact mobil phone offer servic unit state china pier offer applic enabl custom access servic pier headquart san francisco offic shanghai china found richard jia juli 2014,Others,Others,72.6027397260274
341,quiklo.com,"lend softwar lend softwar quiklo micro-lend platform student enabl electron purchas emi quiklo build proprietari next generat credit risk engin use 1,000+ data point includ deriv data build robust underwrit manag strategi data point deriv multipl non-tradit altern data sourc cater segment credit histori cibil score believ segment equal aspir credit worthi one cibil score core technolog determin credit worthi borrow among young milleni",Others,Credit rating platforms,72.6027397260274
112,duanrong.com,financ fintech wealth manag financ fintech wealth manag net short financi wealth belong long-billion beij invest,Working Capital ,Others,72.6027397260274
184,greenskycredit.com,consum lend credit financi servic consum lend credit financi servic greenski offer fast paperless solut financi servic busi size easi way offer financ everyon anywher easi busi size offer credit custom fast paperless solut,Others,Others,72.6027397260274
305,bankbazaar.com,bankbazaar world 's first neutral onlin marketplac instant customis rate quot loan credit card,Others,Others,72.6027397260274
209,ondeck.com,credit financ financi servic small medium busi credit financ financi servic small medium busi ondeck technology-en financi platform provid loan financ small- medium-s busi ondeck technology-en financi platform provid loan financ small- medium-s busi compani use proprietari softwar aggreg data business??? oper process algorithm determin loan elig ondeck found 2006 base new york citi unit state,Others,Others,72.6027397260274
267,gopaysense.com,financi servic fintech inform technolog financi servic fintech inform technolog paysens fintech startup focus bring innov financi servic indian consum paysens fintech startup focus bring innov financi servic indian consum,Others,Others,72.6027397260274
318,fundingwizards.com,financ financi servic lend financ financi servic lend fund wizard marketplac connect busi owner vast network local nation lender investor,Others,Others,72.6027397260274
261,ibanonline.com,e-commerc fintech share economi e-commerc fintech share economi iban crowdlend financi compani aim deliv better deal saver borrow iban first global fintech guarante fund lend us allow support social project financi secur iban verg lead huge improv global crowdlend model aim deliv better deal saver borrow care money,Mortgages,Others,72.6027397260274
358,wanglibao.com,financi servic fintech risk manag financi servic fintech risk manag wanglibao focus accumul industri data enterpris inform wanglibao chines peer-to-p lend platform sell person financi product wealth manag product trust product mutual fund research develop team wanglibao 's financi product cover 20 citi across countri focus accumul industri data enterpris inform found 2014 compani receiv fund shenzhen-list hong opto-electron idg capit partner,Others,Others,72.6027397260274
140,pave.com,"financ financi servic fintech impact invest person financ financ financi servic fintech impact invest person financ pave provid millenni access fund need achiev person financi goal pave lend platform millenni want access fund fair rate peopl want see succeed help find fund need achiev person financi goal pave loan base potenti success rather credit histori fico score offer two-to-three-year consum loan educ refinanc exist debt consolid start busi cover live expens borrow abl receiv loan 25,000 person rate start 6 pave fund communiti care provid next generat tool need go ahead life",Others,Others,72.6027397260274
192,finrise.com,financi servic health care servic industri financi servic health care servic industri finris provid financ option treatment servic cover insur direct doctor 's offic finris mission increas access qualiti healthcar suit transpar financi product start patient dental vision audiolog veterinari servic patient deserv better we???r commit put patient empower custom servic forefront healthcar lend everi day patient receiv instant transpar term loan right doctor 's offic onto phone expand reach finris look beyond simpl fico score creat 30 year ago era smartphon internet access finris empow doctor treat without limit afford combin care coverag chang we???r build solut doctor prefer patient,Others,Others,72.6027397260274
198,liftforward.com,"credit financi servic marketplac credit financi servic marketplac liftforward oper marketplac loan platform provid loan small busi liftforward oper marketplac loan platform provid loan small busi high yield debt product investor busi abl borrow 1,000,000 per transact asset purchas purchas order financ work capit liftforward partner supplier retail manufactur order provid financ small busi custom liftforward partnership includ co-brand white-label portal",Others,Others,72.6027397260274
111,qredits.nl,credit financ financi servic credit financ financi servic qredit abl provid small loan dutch sme compani qredit helpt startend en bestaand ondernem bij het succesvol door starten van hun bedrijf dit doen door het aanbieden van ondernemerstool persoonlijk coach ??n het verstrekken van bedrijfskredieten tot ???250.000 on doel om dromen van ondernem mogelijk te maken vertrouwend op de kracht van het ondernemerschap de kracht van een go ide daarbij kijken wij liever naar de toekomst dan naar het verleden,Others,Others,72.6027397260274
202,lendinghome.com,financi servic marketplac real estat financi servic marketplac real estat lendinghom offer flexibl simpl fast transpar reliabl way borrow get mortgag `` silicon valley reimagin mortgag process ground right way '' ask question late 2013 realiz mortgag broken hard believ industri massiv vital import economi could continu function virtual innov decid fix lendinghom born brought togeth best technolog oper data build next generat mortgag platform meant rethink custom acquisit user experi credit analysi algorithm underwrit oper effici loan servic capit market financi autom consum brand fundament believ technology-en marketplac bring togeth borrow investor futur mortgag combin platform world-class entrepreneuri team ve made futur realiti welcom lendinghom,Others,Mortgages,72.6027397260274
41,lendlayer.com,big data financi servic fintech big data financi servic fintech financ futur educ financ student attend top acceler learn program,Education Loans ,Credit rating platforms,72.6027397260274
306,boefly.com,"consum lend fintech lend marketplac consum lend fintech lend marketplac connect busi borrow lender base new york unit state boefli onlin marketplac leverag proprietari technolog transform way commerci transact conduct act onlin exchang connect parti involv transact therebi simplifi loan origin secondari market loan sale borrow build complet decision-readi loan request onlin use ???smartform??? technolog complet provid inform 3,600 lender nationwid match technolog identifi compat lender borrow complet control lender instant access loan request compani found 2008",Others,Education Loans ,72.6027397260274
299,getsimpl.com,fintech payment fintech payment simpl 's mission make money simpl peopl live well amaz thing simpl??? mission make money simpl peopl live well amaz thing simpl??? first product payment option let skip pay repeat instead pay later multipl order one go multipl verif payment failur fumbl chang order arriv,Others,Others,72.6027397260274
336,optacredit.com,artifici intellig credit lend artifici intellig credit lend optacredit artifici intelligence-pow data-driven onlin lender optacredit artifici intellig power data-driven onlin lender employe work organis partner us driven abil use data underwrit provid short term unsecur loan employe everi elig applic right get access time credit belief base truli understand applic assimil data various sourc ?? ? public privat rather profil within meaningless categori believ applic ratio number uniqu credit servic platform allow firm two prong advantag one provid firm partner us abil unleash true potenti make optimum use work capit two employe welfar scheme avail firm zero cost,Others,Others,72.6027397260274
226,krazybee.com,e-commerc financi servic fintech e-commerc financi servic fintech krazybe india-bas e-commerc web app enabl user order product onlin retail differ pay scheme conveni connect bridg colleg go youth india wonder dream aspir,Others,Others,72.6027397260274
247,cashe.co.in,financi servic financi servic time emi payment squar month bill make major purchas desir cash fin-tech product tslc pte ltd. uniqu young profession serv smart digit world cash offer millenni quick easi person loan process transpar innov tune time cash util sophist algorithm machin learn capabl deliv amaz improv lend experi custom therebi help young profession achiev financi goal effortless app offer instant transfer fund approv applic,Others,Others,72.6027397260274
127,finomena.com,internet internet finomena financi technolog start-up revolutionis way everi consum think finance. innov happen smart peopl stubbor decid ask simpl first-principles-bas question instead accept status-quo-bas answer found stanford iit delhi graduat ve previous kick ass place like facebook microsoft boston consult group bain capit finomena provid access flexibl credit larg segment india??? young demograph tradit access finomena aim radic chang end-to-end custom experi borrow person profession growth make young indian financi independ financi liter thus revolutionis way bank done today??? smartphone-wield indian,Others,Others,72.6027397260274
27,kiva.org,financ financi servic fintech micro lend non profit social entrepreneurship financ financi servic fintech micro lend non profit social entrepreneurship kiva zip communiti provid access 0 interest loan communiti passion help entrepreneur unit state base san francisco kiva intern non-profit organ enabl famili make small loan entrepreneur develop countri crowdfund 705 million u.s. dollar microloan one million entrepreneur 86 countri found 2005 kiva cover cost primarili option donat well support grant sponsor,Micro Finance ,Micro Finance ,72.6027397260274
315,enova.com,financ financi servic financ financi servic enova provid reliabl real-tim financi option peopl face immedi cash demand enova provid reliabl real-tim financi option everyday hardwork peopl face immedi cash demand global financi resourc under-serv consum oper portfolio busi offer varieti onlin credit product servic one million custom unit state unit kingdom australia canada,Others,Others,72.6027397260274
38,achievelending.com,fintech fintech first-ev student loan comparison tool achievelend first-ev student loan comparison tool achievelending.com offer user free onlin portal search find compar student loan design help tradit non-tradit student find best student loan achiev lend first tool kind aggreg loan offer seek privat financ educ purpos take 30 second find choos best loan avail learn www.achievelending.com becom achiev lend affili commiss junction http //bit.ly/1ylqddi,Others,Education Loans ,72.6027397260274
70,rongzi.com,financ financi servic small medium busi financ financi servic small medium busi rongzi enabl offlin financi institut provid loan found 2010 shanghai-headquart rongzi enabl offlin financi institut provid loan small medium-s enterpris,Others,Others,72.6027397260274
235,tala.co,"big data credit financi servic inform technolog mobil softwar big data credit financi servic inform technolog mobil softwar tala mobil technolog data scienc compani revolution financi servic emerg market tala innov fast-pac mobil technolog start-up provid credit score report platform financi servic institut emerg countri tradit credit n't work emerg market mobil technolog unlock trillion dollar purchas power world??? fastest grow economi tala mobil technolog data scienc compani flip tradit credit score model put power hand newli empow consum emerg market mobil app uniqu channel gather averag 10,000 discret data point per user provid person offer deliv real-tim credit",Credit rating platforms,Credit rating platforms,72.6027397260274
40,yindou.com,financi servic impact invest financi servic impact invest yindou compani suppli chain financ invest area,Others,Others,72.6027397260274
246,climbcredit.com,credit educ fintech credit educ fintech climb new kind lend compani strive work school consist improv live student climb credit financ educ work identifi school consist improv graduat earn potenti justifi cost tuition provid simpl fast afford loan student help meet career financi goal know student credit score factor power transform educ climb offer student better rate -- strive financ educ posit impact student live,Education Loans ,Education Loans ,72.6027397260274
121,studentloangenius.com,fintech person financ fintech person financ offer student loan employ benefit student loan genius help compani reach next level recruit retent student loan genius work improv financi outlook employe student loan empow compani help employe reduc student loan debt company??? fix pay match approach simplifi complex problem associ student loan debt reconnect employ employe help busi grow employe retent recruit offer person advic help employe design custom plan meet goal handl payment payrol implement strategi pay loan provid match contribut toward employees??? student loan student loan genius establish 2013,Education Loans ,Education Loans ,72.6027397260274
205,indialends.com,financi servic fintech financi servic fintech indialend digit lend borrow marketplac indialend digit lend borrow marketplac connect consum small busi look low rate loan institut lender look good return avail web mobil compani also provid value-add servic big-data analyt credit risk assess verif autom work-flow loan origin manag lender borrow appli unsecur person loan onlin get access credit report free manag daili spend via indialend mobil app launch 2015 compani base new delhi india,Others,Others,72.6027397260274
153,creditvidya.com,credit financi servic machin learn person financ risk manag credit financi servic machin learn person financ risk manag creditvidya startup analyz data get credit score creditvidya believ power altern data technolog help lender make accur credit decis mission simpl enabl access fair transpar credit 800 million un-scor indian bunch engin sole mission enabl access fair transpar credit 800 million+ un-scor indian tradit method credit asses fail miser india outdat method look repay histori individu give credit score creditvidya har power big data advanc machin learn techniqu re-imagin re-build credit score,Credit rating platforms,Credit rating platforms,72.6027397260274
290,juvo.com,fintech micro lend person financ fintech micro lend person financ juvo establish financi ident billion peopl worldwid creditworthi yet financi exclud juvo found overarch vision establish financi ident billion peopl worldwid creditworthi yet financi exclud partnership mobil network oper juvo??? proprietari ident score technolog use data scienc machin learn game mechan creat identity-bas relationship anonym prepaid user open access otherwis unattain mobil financi servic juvo privat held compani back global busi leader luminari world tech mobil financ execut team compris accomplish industri leader across data scienc consum internet financi servic mobil telecom field specialti fintech mobil telecom consum internet data scienc,Credit rating platforms,Others,72.6027397260274
254,icekredit.com,big data fintech machin learn big data fintech machin learn innov appli machin learn algorithm big data make all-round credit evalu individu smes icekredit inc. fintech compani regist shanghai free trade zone headquart locat lujiazui financi district branch nanj beij guangzhou changzhou chengdu los angel u.s.a. dedic innov appli machin learn algorithm big data relat technolog make all-round credit evalu individu smes icekredit found begin 2015 upon incept compani fund ten million yuan led intern renown ventur capit free capit yunqi partner wei lie capit decemb 2015 icekredit reciev angel fund octob 2016 icekredit obtain round fund present icekredit obtain total invest 160 million yuan product includ smes credit evalu system individu credit assess system consist anti-fraud engin person credit portrait miss custom contact inform restor compani establish busi relationship hundr domest oversea fin-tech tradit financi compani includ unionpay shenma financ neteas small loan taizhou bank fullerton credit subsidiari singapore-bas temasek hold icekredit??? founder- dr.gu lingyun expert appli big data technolog credit evalu individu smes founder head zestfin model team icekredit??? core member high competit background graduat univers chicago purdu univers georgia institut technolog georg washington univers new york univers carnegi mellon univers steven institut technolog etc return china held key posit benchmark fintech tradit financi compani kabbag zestfin lend club capit one discov ge capit barclay icekredit establish busi relationship hundr famous domest oversea fintech tradit financi compani cooper unionpay jieyu unit shenma financ taizhou bank neteas small loan fullerton credit wecash mani compani icekredit becom lead compani appli big data technolog individu sme credit evalu,Credit rating platforms,Credit rating platforms,72.6027397260274
55,creditshop.com,consum lend financ financi servic consum lend financ financi servic creditshop offer afford onlin loan simpl payment plan mani borrow find unsecur person loan reason interest rate extrem difficult often borrow forc consid lender charg high interest rate hefti fee request valuabl item collater creditshop consum qualifi interest rate rang 18 30 creditshop custom make month payment time never pay ongo transact fee late fee annual fee prepay fee reason creditshop loan might smart choic cost less mani consum,Others,Others,72.6027397260274
313,crowdfundingalliantie.nl,internet internet larg number onlin crowdfund platform go want compani take advantag crowdfund larg number onlin crowdfund platform go want compani take advantag crowdfund cours arrang everyth good campaign much easier get market around crowdfund hand specialist lot knowledg experi,Others,Others,72.6027397260274
157,flexshopper.com,e-commerc financi servic payment e-commerc financi servic payment get lowest price leas option latest comput electron applianc furnitur flexshopp provid flexibl easi way get furnitur electron applianc popular brand name good low afford week payment goal get approv leas amount need take home product want dedic provid ultim custom servic experi us smooth begin end transact us confidenti secur relax get approv spend limit go shop enjoy,Others,Others,72.6027397260274
67,ppdai.com,financ fintech peer peer financ fintech peer peer ppdai onlin platform peer-to-p small unsecur loan china ppdai onlin platform peer-to-p small unsecur loan china build safe high-perform honest network platform creativ technolog ideal ppdai standard person behavior debit credit bring return lender borrow ppdai found august 2007 founder well known compani,Others,Others,72.6027397260274
138,fenqi.im,financi servic fintech inform technolog internet mobil mobil app financi servic fintech inform technolog internet mobil mobil app omni prime fintech compani offer credit blue collar china via mobil app `` paymax '' omni prime provid micro loan servic underbank custom buy smart phone within 15 minut complex risk evalu system app ???paymax??? paymax focus china??? blue-collar servic industri worker paymax applic could purchas smart phone valu month earn octob 2014 omni prime secur us 15 million seri led sequoia capita ce yuan ventur juli 2015 omni prime secur signific seri b team member omni prime solid work experi includ sequoia capit china microsoft googl autodesk top invest institut silver valley lead chines bank founder strong academ background stanford tsinghua univers nanj univers fudan univers shanghai jiaotong univers,Others,Others,72.6027397260274
234,bondstreet.com,financ fintech lend financ fintech lend bond street startup focus transform small busi lend technolog data design bond street startup focus transform small busi lend technolog data design small busi owner foundat growth economi yet today??? bank system left behind we???r build better futur access financ simpl transpar fair,Others,Others,72.6027397260274
215,himaxwell.com,credit financi servic fintech credit financi servic fintech mortgag get whole lot easier hi re maxwel we???r mission revolution 8.5t residenti mortgag market reimagin loan offic work togeth homebuy real estat agent buy home connect network one seamless intuitively-design platform focus isn???t paperwork it??? place call home,Others,Mortgages,72.6027397260274
119,capzest.com,consum lend financi servic fintech consum lend financi servic fintech capzest digit lend platform focus unsecur financ incom generat purpos capzest digit lend platform focus provid unsecur credit individu incom generat purpos secur partnership incom generat servic platform provid short term capit various stakehold use in-hous tech platform autom entir loan disburs collect process proprietari credit engin instant calcul individual??? credit profil take consider 1000 data point,0,Credit rating platforms,72.6027397260274
16,alltuition.com,financ financ alltuit onlin search engin enabl collag student find sourc financi aid alltuit onlin search engin enabl collag student find sourc financi aid track hundr student loan provid help student find best loan elig understand real cost borrow,Others,Education Loans ,72.6027397260274
66,cancapital.com,commerci lend financ financi servic fintech commerci lend financ financi servic fintech capit provid capit small medium-s busi use real-tim platform risk-scor model capit provid capit small medium-s busi use real-tim platform risk-scor model daili remitt platform allow lender access daili cash flow borrow collect daili remitt platform give lender window customers??? daili busi reli payment processor split settlement card transact small busi bank capit inc. former known capit access network inc. chang name capit inc. decemb 2013 compani found 1998 base new york unit state,Others,Others,72.6027397260274
107,crowdoutcapital.com,bank financ marketplac bank financ marketplac onlin marketplac connect accredit investor middle-market debt,Others,Others,72.6027397260274
298,insikt.com,bank financi servic fintech softwar bank financi servic fintech softwar insikt reinvent world fintech revolutionari platform enabl brand lend custom lend servic insikt sprung realize brand bank lender tomorrow tradit bank littl interest make small person loan n't kept fast-pac world technolog unequip har power data evolv world financ insikt 's uniqu data driven technolog combin notabl stride fintech reinvent world lend bring credit opportun mass social media technolog creat new relationship consum tomorrow??? lender media giant retail everyday brand offer custom path financi mainstream believ remark platform handl score servic technolog capit futur lend ???lend servic '' describ process put power provid fair price credit-build person loan direct hand brand seek deepen bond custom stay tune re get start,White label Platform,Others,72.6027397260274
87,rategator.com,financ financ rateg onlin mortgag marketplac borrow bank set rate will pay home loan rateg lead mortgag marketplac mobil web user easili connect reput lender meet need negoti lowest possibl interest rate rateg bid platform,Mortgages,Mortgages,72.6027397260274
338,paydayone.com,consult financ person financ consult financ person financ payday one provid instal loan credit servic internet payday one lead provid payday loan internet sinc 2002 compani found one goal ???????? consumer-friend lender industri custom mean guarante price fast conveni loan process friend custom servic payday one subsidiari thinkcash inc. offic delawar nevada texa learn thinkcash visit corpor web site www.thinkcashfinancial.com,Others,Others,72.6027397260274
168,funding-university.com,educ lend educ lend fund u prefer no-cosign fafsa non-fico base student lender hardwork career focus colleg student fund univers fund univers privat student lender serv hardwork career driven undergradu parent lender depend fico score cosign fund univers assess student??? credit worthi base career track amp post-colleg earn potenti fund u take applic waitlist next school year fund expand avail lend student nationwid learn visit? www.funding-university.com visit funding-university.com,Education Loans ,Education Loans ,72.6027397260274
283,lendup.com,financ fintech lend financ fintech lend lendup social respons lender 56 american shut mainstream bank due low credit volatil incom lendup??? mission provid anyon path better financi health build technolog credit product educ experi 56 us popul shut mainstream bank poor credit volatil incom technolog built in-hous current offer sever type credit product includ loan credit card emb educ product avail credit build opportun help borrow improv long-term financi health break vicious debt cycl found two step-broth ceo sasha orloff cto jake rosenberg sasha put ???fin??? fintech work citi world bank grameen bank jake put ???tech??? fintech platform cto zynga 29 began work yahoo age 16 employe 80,Others,Credit rating platforms,72.6027397260274
253,mortgagehippo.com,real estat real estat mortgagehippo end-to-end solut autom streamlin mortgag process break easy-to-follow step mortgagehippo provid recommend person result expert advic help individu make suitabl mortgag choic launch januari 2013 oper chicago illinoi,Others,Others,72.6027397260274
92,gkkxd.com,consum lend financi servic fintech payment consum lend financi servic fintech payment kaixindai p2p lend platform kaixindai peer-to-p lend platform provid network invest financ servic client found 2012 compani base nanj jiangsu,Others,Others,72.6027397260274
122,figloans.com,credit financ financi servic credit financ financi servic fig help financi emerg build credit toward better futur fig partner famili houston offer loan 80 cheaper design get debt fig help financi emerg build credit toward better futur,Others,Others,72.6027397260274
272,octanelending.com,financi servic fintech insur point sale financi servic fintech insur point sale octan lend offer point sale financ insur platform nich consum market octan lend point sale financ platform focus nich consum lend market,Others,Others,72.6027397260274
311,mycfsapp.com,confid financi solut cfs offer highest qualiti financi solut automot servic center custom,Others,Others,72.6027397260274
241,renovateamerica.com,energi effici financi servic fintech water energi effici financi servic fintech water renov america lead way make home communiti energi water effici renov america provid financ solut home communiti area energi water unit state aim lead way make home communiti energi water effici compani offer hero program financ solut made possibl properti assess clean energi legisl partner citi counti implement low-risk scalabl program deliv multipl benefit includ energi save lower util bill reduc emiss new job local econom stimulus in-hous develop team creat custom tool support user product properti owner contractor municip leader,Mortgages,Others,72.6027397260274
285,autogravity.com,automot financ mobil automot financ mobil autogravity??? uniqu mobil platform deliv auto financ palm hand autograv fintech pioneer mission transform process financ car uniqu digit experi autograv partner world??? lead bank give consum direct control financ car smartphon offer simpl mobil platform autograv empow custom multipl loan offer network trust car dealerships.? headquart irvin ca autograv found team digit nativ industri veterans.? learn visit www.autogravity.com follow autogravityhq twitter,Auto Loans ,Others,72.6027397260274
332,mortgagebot.com,consum point sale softwar consum point sale softwar mortgagebot h provid financi institut softwar facilit mortgag applic process mortgagebot llc industry-lead inc. 500 compani provid uniqu award-win mortgagebot powersite?? regist famili integr point-of-sal ipo solut take mortgag applic everi mortgag channel consumer-direct via internet branch call center profession loan offic mortgagebot blend extens mortgag experi leading-edg ?????? ? software-as-a-service??????? saa technolog creat scaleabl afford web site 900 mortgag lender nationwid,Loan management platform,Mortgages,72.6027397260274
250,upgrade.com,"credit financi servic lend onlin portal credit financi servic lend onlin portal upgrad lend compani offer credit monitor platform free upgrad onlin lend platform combin person loan free credit monitor help secur afford credit long run learn http //upgrade.com/ upgrad offer loan 50,000 low fix rate afford month payment prepay fee one-pag onlin applic quick easi you???ll get decis second negat impact credit score repay plan either 36 60 month get choos loan fit budget timelin approv loan fund next day use fund pay credit card major purchas home improv we???r help build financi futur set success choos custom due date sign automat payment circl date calendar debt free come month we???ll also launch new tool help better manag monitor credit score two member found team renaud laplanch soul htite co-found lend club pioneer marketplac lend facilit 24 billion loan made credit afford near 2 million american famili last decad soul also found dianrong one largest marketplac lend platform china founder design new credit platform attempt creat even valu custom help peopl",Others,Credit rating platforms,72.6027397260274
39,lendsquare.com,collabor consumpt crowdfund financ collabor consumpt crowdfund financ lendsquar onlin platform allow small busi financ growth borrow money custom communiti lendsquar help peopl invest small busi neighborhood lend money community-focus approach advantag tradit sourc ofcredit 's cheaper busi strengthen communiti bond allow individu invest place understand love,Others,Others,72.6027397260274
32,covefinancial.com,financ financi servic home renov financ financi servic home renov cove financi group offer mortgag altern program would-b home buyer qualifi mortag cove financi group inc. creat mortgag altern program would-b home buyer payment qualifi today mortgag,Mortgages,Mortgages,72.6027397260274
