ID,company_name,domain_name,industry,industry_segments,horizontal,Segment,technology_segment_2,technology_segments,business_solutions_tst,short_description,about_us
239964,hackers & thinkers,hackersandthinkers.vc,Financial Services,Insurance,Fintech,Digital Banking,Open Banking API,"Consumer Apps:Online retail,Fintech:Digital Banking,Fintech:InsuranceTech,Fintech:Omni Channel Banking,Fintech:Open Banking APIs","Co-working spaces,Pattern Recognition,Credit risk assessment","We love FinTech, InsureTech, Consumer Internet Products and state of the art technology","Hackers & Thinkers  love fintech, insuretech, consumer internet products and state of the art technology."
34020,Conductrics,conductrics.com,,,Fintech,Digital Banking,Open Banking API,"AdTech:Retargeting,Artificial Intelligence:Applications,Artificial Intelligence:Finance,Artificial Intelligence:Machine Learning,Enterprise Apps:Conversion Rate Optimization,Enterprise Apps:Marketing,Enterprise Apps:Web Analytics,Fintech:Analytics,Fintech:Digital Banking,Fintech:Open Banking APIs","Co living spaces,room booking,Peer to Peer lending,controlling water usage,Pattern Recognition,3D property tours,Credit for consumers,Event Organising tools,Account take over","Conductrics offers an API that allows users to create targeted, self-optimizing, customer-facing web and mobile applications.","Conductrics is intelligent Decisions as a Service.  Combining ideas from web analytics, machine learning, and economics, Conductrics provides a simple API for improving the effectiveness of your site or digital app."
38631,Intrinio,intrinio.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Analytics,Fintech:Digital Banking,Fintech:Open Banking APIs","Pattern Recognition,3D property tours",The Amazon of Financial Data & Apps. Disruptively affordable access to individual data feeds and fintech applications.,"Intrinio's mission is to help investors save money and make time so they can live more meaningful lives. We believe investors waste time on data collection, data entry, and data analysis because traditional financial data providers stifle innovation through high prices and restrictive technology. The Intrinio Fintech marketplace solves this problem by making financial data affordable and easy to access for developers, unleashing their creative potential to build the next generation of financial analytics products.  Dozens of data feeds are currently available at disruptively low prices, providing data types such as FDIC bank data, real time IEX stock prices, fundamental US 10Q and 10K data, and insider transactions. Dozens of applications built with that data are also available, applications that free up investors to focus on what really matters- testing assumptions, conducting research, and generating insight.  By uniting data providers, developers, and investors around a new model for financial innovation, the Intrinio Fintech marketplace promises to refocus the financial data industry on the developers and investors that make meaning out of data."
43217,Precog,precog.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Analytics,Fintech:Digital Banking,Fintech:Open Banking APIs","Pattern Recognition,3D property tours","Precog is an analytics platform that helps companies store, integrate and analyze large volumes of measured data.","Precog is a data analysis platform that helps companies productize their data assets. Precog allows companies to store, integrate, and analyze large volumes of measured data. Featuring the industry-leading implementation of Quirrel, the 'R for big data' statistical language, the Precog platform  allows companies to create analytics or predictive models that can be deployed as new products or features inside existing products.  Companies use Precog to build analytics and reporting into their applications, to turn existing data assets into new data products that can then be resold, and to build advanced analytical features like recommendations and personalizations.  Precog is the next-generation technology that spawned out of ReportGrid, a 2011 [TechStars](/organization/techstars) company. Founded by veteran technologist and entrepreneur John A. De Goes, Precog is tackling the big data productization problem head-on through a combination of innovative technology and obsessive attention to usability.  Precog is funded by RTP Ventures, Resonant Ventures, David G. Cohen, and other seasoned angels. Its board of directors includes SendGrid CEO Jim Franklin, and serial entrepreneur Kirill Sheynkman."
43629,Quandl,quandl.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Analytics,Fintech:Digital Banking,Fintech:Open Banking APIs","Pattern Recognition,3D property tours","Quandl is the premier source for open, commercial, and alternative data, serving investment professionals.","Quandl offers essential core financial and economic data alongside a suite of unique, alpha-generating alternative data. With an unrivaled delivery system -- whether through API or popular analytic tools, such as R, Python and Excel -- Quandl has cemented a reputation for understanding and providing what professional quantitative analysts need and want.  The Quandl user base includes analysts from the world’s top hedge funds, asset managers and investment banks.  The company was founded in 2011 and is based in Toronto, Canada."
43715,Quovo,quovo.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Artificial Intelligence:Applications,Artificial Intelligence:Finance,Artificial Intelligence:Machine Learning,Fintech:Analytics,Fintech:Digital Banking,Fintech:InvestmentTech,Fintech:Open Banking APIs,Fintech:Personal Finance Management,Fintech:Wealth management platform","room booking,Peer to Peer lending,Pattern Recognition,3D property tours,Crossborder payment,earthquake insurance",Quovo is a provider of account aggregation and data analytics technology for finance.,"Quovo is an end-to-end financial technology platform that empowers advisors and professionals with cutting edge data management and insights tools, all delivered elegantly via the web. Seamless yet modular, Quovo’s technology suite includes:  Smart Account Aggregation The era of incomplete, one-dimensional data is over. Quovo aggregates financial accounts and enriches data with groundbreaking proprietary technology to normalize, transform, and reconcile disparate data from any source.  Portfolio Analytics Quovo's smart aggregation enables instantaneous, powerful analysis for investment data. See any statistic, over any time period, for any portfolio, on the fly. Even feed data into sophisticated simulations — effortlessly.  Data Visualization Because Quovo takes full ownership of the data workflow, our platform can translate large, complex data sets into a variety of visualizations — making otherwise messy data beautiful, usable, and valuable.  Reliable Security With bank-level encryption and 3rd party security validation, Quovo ensures that your data remains secure. Hosted in the cloud, our technology turns your browser or mobile device into a professional-grade data and insights application."
103068,Spot Influence,spotinfluence.com,,,Fintech,Digital Banking,Open Banking API,"Fintech:Analytics,Fintech:Digital Banking,Fintech:Open Banking APIs","Pattern Recognition,3D property tours","Spot Influence is a social data provider that makes social data and insights accessible, actionable and measurable for companies.","Spot Influence is a social data provider, making it easy to find the best people on any topic.  The Spot Influence API identifies topical Influencers on any search term, across all of social media, ranking every content creator on their topical Reach Relevance and Impact. In addition, the API can provide outlet, interest, and topical Influence data for any person creating content.  The API is capable of handling millions of calls per day."
31672,Apply Financial,applyfinancial.co.uk,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs","Enterprise Collaboration,Pattern Recognition",Our product ranges are called : 1. Payment Validation (Validate API and Validate Browser ); 2.,"Apply Financial is a payments validation company that offers a variety of solutions to confirm, check, fix, and change single and bulk payment information. It helps its customers stay updated about future payment standards. The company offers three products: Validate Browser, Validate API, and Validate Data Manager. Its collection of products help users submit payment details correctly first time, allowing them to save time and money as well as reduce the risk related to non-payments, manage compliance, and improve customer relationships. Apply Financial follows a pay-as-you-go pricing structure to charge fees from its customers."
32014,Authy,authy.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Open Banking APIs",Pattern Recognition,Authy provides an API for developers to customize the user experience when adding two-factor authentication and multiple add-ons for apps.,"Authy provides a two-factor authentication smartphone application for consumers, a 2FA Rest API for developers, and an authentication platform for enterprises. It enables every user, group, and organization to customize their settings and configure security rules through its platform. Authy achieves and maintains compliance with PCI, HIPAA, FIPS 140, and other regulatory mandates worldwide. It offers protection for various apps, including Facebook, Gmail, Dropbox, or any account that supports Google Authenticator. Authy’s login verification options include a unique verification code, a text message, and a singular answer question that appears only on its users’ mobile device."
32605,BlockApps,blockapps.net,Advertising,,Fintech,Digital Banking,Open Banking API,"Fintech:Blockchain & Cryptocurrencies,Fintech:Digital Banking,Fintech:Open Banking APIs",Pattern Recognition,BlockApps is a full-stack technology platform that allows its users to build industry-specific blockchain applications.,BlockApps is a full-stack technology platform that allows you to build blockchain applications on customizable private and consortium (semi-private) blockchains as well the public Ethereum network.
33098,"Bytemark, Inc.",bytemark.co,Retail,,Fintech,Digital Banking,Open Banking API,"Consumer Apps:Events ticketing,Consumer Apps:Online retail,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs,Fintech:Point of sale - PoS","Enterprise Collaboration,Pattern Recognition,Credit Risk Assessment","Bytemark offers smartphone apps, point-of-sale plugins and open APIs that provide an integrated mobile commerce experience.","A New York City startup with offices in the US, Canada, UK , India and Australia, Bytemark provides mobile ticketing and payment solutions for transit, attractions, and events. In January 2012, Bytemark launched the first mobile ticketing app for a major U.S. transit agency with the release of the NY Waterway app. Bytemark is focused on providing its partners with the tools they need to navigate the rapidly evolving mobile ticketing industry. Transit has been underserved by the expansion of mobile technology, and Bytemark is working to bridge the gap between the transit industry and the world’s growing technology sector. Bytemark is dedicated to the development of an innovative mobile platform that improves the ticket and payment experience for consumers and merchants."
33467,Checkbook,checkbook.io,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs","Enterprise Collaboration,Pattern Recognition","No more paper Checks, just send Digital Checks online. Checkbook.io allows you to send digital Checks without signups or downloads.","Checkbook is solving the major paper Check problem in payments making business inefficient today. Checkbook's Digital Checks are a way for individuals and businesses to send and receive funds via email - with instant deposit and next-day fund credits.   With our effortless on-boarding, Checkbook offers easy adoption combined with the low-cost of ACH while preserving payment immediacy."
33894,Coinkite,coinkite.com,"Advertising,Retail",,Fintech,Digital Banking,Open Banking API,"Fintech:Blockchain & Cryptocurrencies,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Fraud management,Fintech:Open Banking APIs,Fintech:Point of sale - PoS,Fintech:PoS - Merchant services,Fintech:Tokenisation","Enterprise Collaboration,Insurtech,Pattern Recognition,Credit Risk Assessment,transfer money globally,Hospital Information Systems",Coinkite is the Easiest and Safest Way to Use and Accept Bitcoin.,"Coinkite is the Easiest and Safest Way to Use and Accept Bitcoin. With the world's most advanced web wallet system, we empower customers and merchants to BUY, SELL, ACCEPT and STORE Bitcoins and other crypto currencies, in both the online and physical worlds, just as you would with online banking and debit cards."
33939,Colu,colu.com,"Advertising,Financial Services",,Fintech,Digital Banking,Open Banking API,"Fintech:Blockchain & Cryptocurrencies,Fintech:Digital Banking,Fintech:Open Banking APIs",Pattern Recognition,Creating local currencies for smart economies using Blockchain technology.,"By giving people the ability to exchange digital cash directly with one another Colu is creating a new way of thinking about money that encourages sustainable and equitable economic growth while supporting local businesses.  Colu believes that real change begins at the local level. Through the use of local currencies, more people shop local, eat local, buy local, and live local, strengthening the local economy, and keeping the control of money in everyone's hands. With a strong and inclusive local economy people feel more connected to one another, increasing social responsibility and social capital."
34009,Commerce,comr.se,,,Fintech,Digital Banking,Open Banking API,"Consumer Apps:Online retail,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs","Enterprise Collaboration,Pattern Recognition",Commerce brings merchants into Buy Now & Omni Commerce Channels,Buy Now Platform & Omni Commerce Enablement
34022,Conekta,conekta.io,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs","Enterprise Collaboration,Pattern Recognition",Conekta is a service that allows users to send and receive money easily.,"Payments engine for LATAM. Process online and offline payments integrating our API. Conekta allows companies and developers to create their own payment solution with their own design and flow for any website and app. Use our libraries for PHP, Ruby and Python or our plugins for Magento, Spree and others."
34400,Culqi,culqi.com,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs,Fintech:Payment Gateway","Enterprise Collaboration,Pattern Recognition,Customer Relationship Management",Payment gateway built for LATAM´s developers and marketplaces,"Culqi is the fastest, secure and easiest way to accept online payments in Latin America. Culqi allows businesses and developers to create their own payment solution for any website and mobile app."
34431,Currencycloud,currencycloud.com,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs,Fintech:RegTech","Enterprise Collaboration,tour booking,Pattern Recognition",Currencycloud is a global payment platform that serves businesses by providing technologies that makes payments frictionless.,Moving money shouldn't be hard Say hello to a better tomorrow. Build your application or product using our payment and currency conversion APIs. We make it easy for you to re-imagine how money flows through the global digital economy.
35404,Eligible,eligible.com,Healthcare & Pharmaceuticals,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Health Insurance,Fintech:InsuranceTech,Fintech:Open Banking APIs","Co-working spaces,Enterprise Collaboration,Pattern Recognition,Credit on demand for business","Eligible develops APIs for medical eligibility, claims, and payments.","Eligible provides patient and insurance billing APIs.  Eligible believes that processing medical payments should be ubiquitous. By seamlessly connecting healthcare systems to insurance payments through modern APIs, Eligible opens up more possibilities for patients and more businesses for providers."
36029,Fidel,fidel.uk,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Open Banking APIs",Pattern Recognition,Fidel is a simple software platform that makes it easy for developers and retailers to connect bank cards to rewards and marketing services.,"Fidel is the first API aggregator for Card-Linking globally. The API platform has been built on top of the infrastructure of all major payment networks. Fidel API makes it super easy for developers to build application that receives real-time payments events directly from bank cards.   Card-linking enables retailers, marketeers and publishers to easily link offers, rewards and marketing services directly with a customers payment card transactions."
36051,figo,figo.io,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:InvestmentTech,Fintech:Open Banking APIs,Fintech:Personal Finance Management","Pattern Recognition,Crossborder payment",figo provides banking services and enables businesses to connect with their financial service providers.,"figo aggregates financial sources from over 3,100 banks and financial institutions to enable innovative services. As Europe’s first “Banking­ Service ­Provider” figo is PSD2 ready! figo’s sophisticated platform ‘Banking­ as­ a­ Service’ connects modern services with more than 55 million online banking accounts in Germany and Austria. The company is targeting the Single Euro Payments Area (SEPA) in total. Furthermore figo has set up a new connectivity standard to financial data and reduces complexity of banking implementation to a minimum figo makes banking usable wherever it adds value and creates new touch points between consumers and our partners ­ startups and banks! figo realized the opportunities arising from PSD2 accompanied by changing customer expectations. figo does not only provide an established banking API, but also an entire banking service platform supporting a vast number of innovative banking solutions (incl. access to bank account).   All information at www.figo.io , @figoAPI & www.facebook.com/figoAPI."
36295,Flutterwave,flutterwave.com,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs,Fintech:Point of sale - PoS","Enterprise Collaboration,Pattern Recognition,Credit Risk Assessment","Flutterwave provides a payment service for global merchants, payment service providers, and Pan African banks.","Flutterwave provides technology, infrastructure and services to enable global merchants, payment service providers and Pan African banks accept and process payments on any channel (Web, Mobile, ATM & POS). We help businesses in africa go global by smoothening the exchange of funds in 150+ currencies."
40677,midō,mido-sv.com,,,Fintech,Digital Banking,Open Banking API,"AdTech:Mobile,Consumer Apps:Online retail,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Mobile wallets,Fintech:Open Banking APIs","Demand Side Platform,Enterprise Collaboration,Pattern Recognition,Credit scoring",We are a Latinamerican Start-up developing cutting-edge solutions based on emerging technologies. Follow us to know more.,"midō is a Latin-American startup that develops software solutions based on emerging technologies. Launched in 2013, midō is based in San Salvador, El Salvador."
42023,Onegini,onegini.com,Financial Services,Insurance,Fintech,Digital Banking,Open Banking API,"Cyber Security:Application Security,Cyber Security:Identity & Access Management,Fintech:Digital Banking,Fintech:InsuranceTech,Fintech:KYC,Fintech:Open Banking APIs,Fintech:RegTech","Manage corporate travel,Co-working spaces,tour booking,Pattern Recognition,tour guide","Onegini protects customer personal data and enables secure transactions, using any device any time.","Onegini protects customer personal data and enables secure transactions, using any device any time. The company’s award-winning Mobile Security Platform provides organizations with an easy way to deliver mobile apps, with the best end-user experience and high security for external users. The Onegini team consists of security specialists whose job it is to identify new threats in the mobile space and translate them into state-of-the-art mobile app protection. Onegini already protects data for millions of end users in the banking, insurance and transport markets.  Onegini has offices in the Netherlands and Poland."
42474,PassKit,passkit.com,,,Fintech,Digital Banking,Open Banking API,"Enterprise Apps:Content Distribution,Enterprise Apps:Content Marketing,Enterprise Apps:CRM,Enterprise Apps:Marketing,Enterprise Apps:OmniChannel,Enterprise Apps:SalesForce Automation,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Mobile wallets,Fintech:Open Banking APIs,Internet of Things (IoT):Connected Homes,Internet of Things (IoT):Home Automation","Co living spaces,Enterprise Collaboration,Hotel booking,Pattern Recognition,Online real estate brokerage,tour journal,Credit scoring",The PassKit platform enables businesses of any size to easily integrate and benefit from mobile wallet applications & beacon technology.,"We provide our clients and partners with the knowledge, best practices, easy-to-use tools, on-going support and a secure and dedicated infrastructure to fully capitalise on projected exponential growth in mobile wallet marketing.  Innovation & implementation services  Our resources, knowhow and experience enable businesses to secure a valuable head start on mobile wallet marketing, and stay ahead in the future.  Online Self-serve solutions  Our set of modular routines, protocols, tools and analytics allow businesses to build and continually improve online-to-offline business applications and processes.  Scalable Infrastructure  Our Robust and scalable carrier-grade infrastructure means businesses can easily start and affordably handle projected exponential growth in mobile wallet engagement marketing."
42821,Pin Payments,pin.net.au,,,Fintech,Digital Banking,Open Banking API,"Enterprise Apps:Finance and Accounting,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs","Enterprise Collaboration,Pattern Recognition","Pin Payments is an all-in-one multi-currency online payment system, designed to bring the banks’ traditional merchant services up to date.",An all-in-one developer API for accepting credit card payments online in multiple currencies. Through integrations with key e-commerce & business platforms (https://pin.net.au/partners) Pin Payments also enables small businesses to start accepting payments online quickly & easily.
44594,Scloby,scloby.com,Retail,,Fintech,Digital Banking,Open Banking API,"Enterprise Apps:Finance and Accounting,Enterprise Apps:Invoice Management,Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs,Fintech:Point of sale - PoS","Enterprise Collaboration,Pattern Recognition,AI in Agriculture,Credit Risk Assessment",Cloud point of sale for tablet and smartphone,"The best friend of merchants and restaurateurs: Scloby makes managing your business a simple and innovative experience. Scloby is an effective alternative to the cash register and is approved by the inland revenue (in some countries .e.g Italy). You will be able to issue receipts and invoices with a few taps from your tablet, Smartphone or computer while on the move. You can manage payments with cash, credit cards, debit card or the innovative payments through smart- phone. Scloby supports some selected card readers (POS) for credit and debit cards as well as payment services through QrCode, NFC and the Internet. All you need is a tablet and a mini printer which are supplied by us. The wizard allows you to set up a new tablet or Smartphone using Scloby in less than 5 minutes and without any particular technical knowledge. Much lower prices rispect to the other solutions and guaranteed to have no hidden costs: after the activa- tion is all included in a single monthly fee.  More info at https://www.dropbox.com/s/hlbz9ikxoh2l6oo/scloby_brochure_english.pdf"
45850,Spout,spout.co,Financial Services,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Open Banking APIs",Pattern Recognition,"Spout, a technology company, provides its users with API to assist them in the obtaining of level three data.","Spout is changing the way fintech innovation is realized and empowering consumers and businesses through ultimate control of their financial data. We provide an easy-to-use API that is developer-friendly. Our technology allows for rapid development and integration. Through our API users can pull level 3 data (think line items of bills, credit card offers from banks) with ease.  Our Sign Up With Spout feature gives our consumer users the ability to permit or deny access to all of their financial data instantly...imagine changing banks with one click and having transaction history as well as bill payees already integrated to your new bank!"
46131,Stripe,stripe.com,,,Fintech,Digital Banking,Open Banking API,"Fintech:Digital Banking,Fintech:Digital Payments,Fintech:Open Banking APIs","Enterprise Collaboration,Pattern Recognition",Stripe provides a set of unified APIs and tools that instantly enable businesses to accept and manage online payments.,"Stripe is the best way to accept payments online. Stripe aims to expand internet commerce by making it easy to process transactions and manage an online business. We want to increase the GDP of the internet.  We believe that enabling more transactions is a problem rooted in code and design, not finance. Stripe is built for developers, makers, and creators.  We had experienced first-hand the difficulty of accepting online payments. On almost every front, it was becoming easier to build and launch an online business. Payments, however, remained dominated by clunky legacy players. It seemed clear that there should be a developer-focused, instant-setup payment platform that would scale to any size. Stripe launched in September 2011.  Stripe now processes billions of dollars a year for thousands of businesses, from newly-launched start-ups to Fortune 500 companies. Since Stripe powers so many new businesses, it's a snapshot of how the internet is changing; many users are in categories that barely existed five years ago."
